ConditionEvents,en,uk
EventTitle1208,Thundercloud - A Loud Boom,Грозова хмара - гучний бум
EventText1208,You're driving across the countryside when you hear a deafening explosion in the distance. None of you are quite sure what it was.,"Ви їдете сільською місцевістю, коли чуєте вдалині оглушливий вибух. Ніхто з вас не знає, що це було."
Evt1208_Select0,[Find the source of the sound],[Знайдіть джерело звуку]
Evt1208_Select1,[Come back later],[Приходьте пізніше]
EventTitle1209,Thundercloud - Ride the Lightning,Thundercloud - Ride the Lightning
EventText1209,"Floating above the plains ahead is a massive thundercloud, flashing with the occasional lightning bolt.","Попереду над рівнинами пливе величезна грозова хмара, яка час від часу спалахує блискавками."
Evt1209_Select0,[Drive beneath the thundercloud],[Проїхати під грозовою хмарою]
Evt1209_Select0_Random0_Seq0_Hint0,"Beneath the thundercloud, you find an unremarkable little house.",Під грозовою хмарою ви знаходите непримітний будиночок.
Evt1209_Select0_Random0_Seq1_Hint0,"Your truck is struck by an errant lightning bolt. Thankfully, it doesn$STR_2t do any damage, but your rattled crew decides to turn back around.","У вашу вантажівку влучила випадкова $STR_2 блискавка. На щастя, вона не завдає жодної шкоди, але ваш переляканий екіпаж вирішує розвернутися назад."
Evt1209_Select0_Random0_Seq2_Hint0,Your truck is damaged by an errant lightning bolt. Your rattled crew decides to turn back around.,Ваша вантажівка пошкоджена випадковою блискавкою. Ваш наляканий екіпаж вирішує повернутися назад.
Evt1209_Select1,[Observe from a distance],[Спостерігати здалеку].
Evt1209_Select1_Random0_Seq0_Hint0,"You pull out your binoculars and observe the cloud from a distance. Beneath it, you find an unremarkable little house.",Ви дістаєте бінокль і спостерігаєте за хмарою здалеку. Під нею ви бачите нічим не примітний будиночок.
Evt1209_Select1_Random0_Seq1_Hint0,The fierce lightning and ear-splitting thunder frighten your crew.,Несамовиті блискавки та ріжучий слух грім лякають ваш екіпаж.
Evt1209_Select2,[Make a lightning rod],[Зробити громовідвід]
Evt1209_Select3,[Leave],[Піти]
EventTitle1210,Thundercloud - Lightning Rod,Грозова хмара - громовідвід
EventText1210,You decide to make a lightning rod using the materials you have on hand.,Ви вирішили зробити громовідвід з підручних матеріалів.
Evt1210_Select0,[Craft a simple lightning rod],[Змайструйте простий громовідвід].
Evt1210_Select0_Random0_Seq0_Hint0,"The rod bears the brunt of the lightning. Beneath the thundercloud, you find an unremarkable little house.",Стрижень приймає на себе основний удар блискавки. Під грозовою хмарою ви знаходите непримітний будиночок.
Evt1210_Select0_Random0_Seq1_Hint0,The lightning rod doesn't seem to work. Do you want to try crafting another?,"Здається, громовідвід не працює. Хочеш спробувати зробити інший?"
Evt1210_Select1,[Craft an advanced lightning rod],[Створіть вдосконалений громовідвід].
Evt1210_Select1_Random0_Seq0_Hint0,"The rod bears the brunt of the lightning. Below the thundercloud, you find an unremarkable little house.",Стрижень приймає на себе основний удар блискавки. Під грозовою хмарою знаходиться нічим не примітний будиночок.
Evt1210_Select1_Random0_Seq1_Hint0,The lightning rod doesn't seem to work. Do you want to try crafting another?,"Здається, громовідвід не працює. Хочеш спробувати зробити інший?"
Evt1210_Select2,[Give up],[Здатися]
EventTitle1211,Thundercloud - Little House on the Prairie,Грозова хмара - Будиночок у прерії
EventText1211,"You enter the little house beneath the thundercloud. The interior is dark, and you can$STR_2t quite make anything out. You see what seems to be an infected, but it doesn$STR_2t attack you.","Ви$STR_2 входите до маленького будиночка під грозовою $STR_2 хмарою. Всередині темно, і ви не можете нічого розгледіти. Ви бачите інфікованого, але він не нападає на вас."
Evt1211_Select0,[Preemptive strike],[Превентивний удар]
Evt1211_Select0_Random0_Seq0_Hint0,"As you sneak up on the infected, you nearly stumble over an old man, trying his best to hide.\n$STR_1Kill it! Please!$STR_1 he whispers to you. Well, you were gonna do that anyways...","Підкрадаючись до інфікованих, ви ледь не спіткнулися об старого, який щосили намагається сховатися.\n$STR_1Убийте його! Будь ласка!\n$STR_1 - шепоче він вам. Ну, ти все одно збирався це зробити..."
Evt1211_Select0_Random0_Seq1_Hint0,"Turns out it$STR_2s not an infected, it$STR_2s an old man. A very, very ugly old man. After you clock him in the face, he angrily throws you out.","$STR_2 Виявляється, це$STR_2 не інфікований, а старий чоловік. Дуже, дуже потворний старий. Після того, як ви б'єте його в обличчя, він сердито виганяє вас геть."
Evt1211_Select1,[Try to talk to it],[Спробуйте поговорити з ним]
Evt1211_Select1_Random0_Seq0_Hint0,"You call out to the $STR_1infected$STR_1. You find out that it$STR_2s not actually an infected, just a very, very wrinkled old man.","Ви$STR_1 кличете інфікованого $STR_1. Ви дізнаєтесь, що це $STR_2 насправді не інфікований, а просто дуже, дуже зморшкуватий дідусь."
Evt1211_Select1_Random0_Seq1_Hint0,"You$STR_2re about to call out to the infected, when suddenly an old man comes charging at it from the shadows, screaming like a berserker. The surprised infected runs from its assailant, heading straight towards you. You and the old man manage to take down the infected, but you get wounded in the chaotic melee.","Ви$STR_2 збираєтесь покликати інфікованого, як раптом з тіні на нього нападає старий чоловік, кричачи, як берсеркер. Здивований інфікований тікає від нападника, прямуючи прямо до вас. Вам зі старим вдається впоратися з інфікованим, але в хаотичній сутичці ви отримуєте поранення."
EventTitle1212,Thundercloud - Little Old Man on the Prairie,Грозова Хмара - Маленький дідусь у прерії
EventText1212,"The old man claims to be a researcher, investigating the truth behind the Fall. He has some leads, and wants us to help transport a serum he developed to another facility. He promises that they$STR_2ll reward you handsomely for the delivery.","Старий стверджує, що він дослідник, який вивчає правду про Гріхопадіння. У нього є деякі зачіпки, і він хоче, щоб ми допомогли перевезти сироватку, яку він розробив, в інше місце. Він обіцяє, що вони$STR_2 добре винагородять вас за доставку."
Evt1212_Select0,[Help him],[Допомогти йому]
Evt1212_Select0_Hint0,Saving the world and getting paid to do it? Not a bad gig.,Рятувати світ і отримувати за це гроші? Непогана робота.
Evt1212_Select1,[Refuse],[Відмова]
Evt1212_Select1_Hint0,You decide you've got more important things to do.,"Ви вирішили, що у вас є важливіші справи."
EventTitle1213,(Side Story) Serum Delivery,(Побічна історія) Доставка сироватки
EventText1213,Deliver the old man's serum to the marked location.,Доставте сироватку старого в зазначене місце.
EventTitle1215,Thundercloud - Serum Delivery,Thundercloud - Доставка сироватки
EventText1215,"You take the serum to its intended location, which turns out to be a hospital. It seems to be in a state of disorder, with doctors and nurses trying to process and admit a massive influx of patients at the gates.","Ви везете сироватку до місця призначення, яким виявляється лікарня. Здається, вона перебуває в стані безладу, лікарі та медсестри намагаються обробити та прийняти величезний потік пацієнтів біля воріт."
Evt1215_Select0,[Enter the hospital],[Увійдіть до лікарні]
Evt1215_Select0_Hint0,"The hospital administrator thanks you for bringing him the serum. He explains to you that the serum is capable of halting the infection process, and represents the best hope in developing a vaccine.\nHe also hands you your reward.","Адміністратор лікарні дякує вам за те, що ви принесли йому сироватку. Він пояснює вам, що сироватка здатна зупинити інфекційний процес і є найбільшою надією в розробці вакцини.\nВін також вручає вам вашу винагороду."
Evt1215_Select1,[Figure out what's going on],"[З'ясувати, що відбувається]"
Evt1215_Select1_Hint0,You learn from one of the attending staff that the nearby town was attacked by infected last night. The hospital is struggling to handle all of the wounded.,"Від одного з медперсоналу ви дізнаєтеся, що минулої ночі на сусіднє місто напали інфіковані. Лікарня намагається впоратися з усіма пораненими."
EventTitle1216,Thundercloud - Dissension,Грозова хмара - Розбрат
EventText1216,"Another man in the room speaks up. He introduces himself as the hospital$STR_2s chief physician. He claims that any vaccine would take years to develop. On behalf of his fellow doctors, he argues that the serum should be used to treat the recent influx of patients, many of whom have are on the verge of turning into infected.","Ще один чоловік у кімнаті заговорив. Він представляється головним лікарем лікарні $STR_2. Він стверджує, що на розробку будь-якої вакцини підуть роки. Від імені своїх колег-лікарів він стверджує, що сироватку слід використовувати для лікування нещодавнього напливу пацієнтів, багато з яких перебувають на межі інфікування."
Evt1216_Select0,[Support the administrator in developing the vaccine],[Підтримка адміністратора в розробці вакцини].
Evt1216_Select0_Random0_Seq0_Hint0,You decide that these patients are a necessary sacrifice for a potentially world-changing vaccine. The administrator thanks you and hands you extra payment for your support.,"Ви вирішили, що ці пацієнти - необхідна жертва заради вакцини, яка може змінити світ. Адміністратор дякує вам і вручає додаткову винагороду за вашу підтримку."
Evt1216_Select0_Random0_Seq1_Hint0,"As you discuss the issue, a mob of infected break through the door, quickly tearing the administrator apart.","Поки ви обговорюєте проблему, натовп інфікованих вривається у двері, швидко розриваючи адміністратора на шматки."
Evt1216_Select1,[Support the physicians in curing the patients],[Підтримка лікарів у лікуванні пацієнтів].
Evt1216_Select1_Hint0,"There$STR_2s no guarantee that they could even develop a vaccine, and even if they could it would take years. You decide that this isn$STR_2t enough of a reason to just allow all these people to die.","Немає жодних $STR_2 гарантій, що вони зможуть розробити вакцину, а навіть якщо і зможуть, то на це підуть роки. Ви$STR_2 вирішили, що це недостатня причина, щоб дозволити всім цим людям померти."
Evt1216_Select2,This has nothing to do with us.,До нас це не має жодного відношення.
Evt1216_Select2_Random0_Seq0_Hint0,Resolving a moral quandary wasn't part of the job description. You leave the serum on the table and take your leave.,Вирішення моральних проблем не входило в мої обов'язки. Ви залишаєте сироватку на столі і йдете.
Evt1216_Select2_Random0_Seq1_Hint0,"The moment you exit the office, you$STR_2re greeted by a horde of infected in the hallway.","Щойно ви виходите з офісу, вас$STR_2 зустрічає орда інфікованих у коридорі."
EventTitle1217,Thundercloud - Inpatient Scare,Грозова хмара - стаціонарний переляк
EventText1217,"The hospital is in chaos. Throughout the wards, many of the wounded patients have turned infected. They$STR_2re now wandering the halls killing any staff and patients they come across, turning them into yet more infected.","У лікарні панує $STR_2 хаос. У палатах багато поранених пацієнтів стали інфікованими. Вони блукають коридорами, вбиваючи персонал і пацієнтів, на яких натрапляють, перетворюючи їх на ще більшу кількість інфікованих."
Evt1217_Select0,[Eliminate the infected],[Усунути інфікованих]
Evt1217_Select0_Random0_Seq0_Hint0,"You go ward to ward, killing any infected you find. Once you$STR_2ve cleared the hospital, the thankful staff give you an extra reward and tell you that they$STR_2ll take care of and monitor the surviving patients.","Ви$STR_2 ходите від палати до $STR_2 палати, вбиваючи всіх інфікованих, яких знайдете. Після того, як ви очистите лікарню, вдячний персонал дасть вам додаткову винагороду і скаже, що вони подбають про пацієнтів, які виживуть, і спостерігатимуть за ними."
Evt1217_Select0_Random0_Seq1_Hint0,"You focus on eliminating the existing infected, failing to notice the patients turning into new infected. They attack you from behind and quickly overwhelm you. You manage to fight your way out of the hospital, but not without a few scrapes.","Ви зосереджуєтесь на знищенні існуючих інфікованих, не помічаючи, як пацієнти перетворюються на нових інфікованих. Вони нападають на вас ззаду і швидко перемагають. Вам вдається вирватися з лікарні, але не без кількох подряпин."
Evt1217_Select1,[Eliminate infected and use the serum on the patients],[Усуньте інфікованих і використовуйте сироватку на пацієнтах].
Evt1217_Select1_Random0_Seq0_Hint0,"Trying to cure the patients before they turn while also fighting off the existing infected turns out to be too much for your crew to handle. You manage to get out of the hospital before the infected overwhelm you, but one of your truckers gets hurt.","Намагання вилікувати пацієнтів до того, як вони перетворяться на інфікованих, а також боротися з існуючими інфікованими виявляється занадто складним завданням для вашої команди. Вам вдається вибратися з лікарні до того, як інфіковані захоплять вас, але один з ваших водіїв отримує поранення."
Evt1217_Select1_Random0_Seq1_Hint0,"You go ward to ward, killing any infected you find and injecting patients who haven$STR_2t turned with the serum. You eliminate all the infected and manage to save the surviving patients. Not bad for a day$STR_2s work. The profoundly thankful hospital staff give you an extra reward and tell you that they$STR_2ll take care of the survivors.","Ви ходите від палати до палати, вбиваючи всіх інфікованих, яких знаходите, і вводячи сироватку пацієнтам, у яких $STR_2t не змінився. Ви знищуєте всіх інфікованих і встигаєте врятувати пацієнтів, що вижили. Непогано для одного дня роботи $STR_2. Вдячні працівники лікарні дають вам додаткову винагороду і кажуть, що вони подбають про тих, хто$STR_2 вижив."
Evt1217_Select2,[Eliminate both the infected and the patients],"[Усунути як інфікованих, так і хворих]."
Evt1217_Select2_Hint0,"Can$STR_2t take any chances. You go ward to ward, killing anything that moves. You leave the hospital, and the bloodbath you caused, in silence.","Can$STR_2t не може ризикувати. Ти ходиш від палати до палати, вбиваючи все, що рухається. Ти мовчки покидаєш лікарню і криваву баню, яку ти спричинив."
Evt1217_Select3,[Run away],[Тікай!]
Evt1217_Select3_Random0_Seq0_Hint0,"You feel bad for leaving these folks to their fate, but this situation has spiraled far out of your control.","Вам неприємно залишати цих людей напризволяще, але ситуація вийшла з-під вашого контролю."
Evt1217_Select3_Random0_Seq1_Hint0,"You manage to make it out of the hospital, but one of your truckers gets scratched by an infected in the process.","Вам вдається вибратися з лікарні, але одного з ваших водіїв подряпав інфікований."
EventTitle1218,Signal - Mysterious Broadcast,Сигнал - таємнича трансляція
EventText1218,"While driving through the Dustlands, you pick up on a strange radio frequency. It seems to be a repeating SOS signal, broken up only by a pre-recorded voice reading out a set of coordinates. You check the coordinates against your map and find that it$STR_2s not too far from your current location.","Проїжджаючи через Пилові пустки, ви вловлюєте дивну радіочастоту. Здається, це повторюваний сигнал SOS, який переривається лише заздалегідь записаним голосом, що зачитує набір координат. Ви звіряєте координати з мапою і виявляєте, що це $STR_2 знаходиться недалеко від вашого поточного місцезнаходження."
Evt1218_Select0,[Head to coordinates],[Голова до координат]
Evt1218_Select1,[Revisit this later],[Поверніться до цього пізніше].
EventTitle1219,Signal - Strange Cabin,Сигнал - Дивна хатина
EventText1219,"The broadcast$STR_2s coordinates lead to a small cabin. The exterior is caked in dried blood in a myriad of patterns, from splatters to drag marks.","Координати трансляції $STR_2s ведуть до невеликої хатини. Ззовні вона вкрита засохлою кров'ю у незліченній кількості візерунків, від бризок до слідів волочіння."
Evt1219_Select0,[Knock on the door],[Стук у двері]
Evt1219_Select0_Random0_Seq1_Hint0,"When you knock on the door, you realize that it$STR_2s already slightly ajar. You take a step inside.","Коли ви стукаєте у $STR_2 двері, то розумієте, що вони вже трохи прочинені. Ти робиш крок всередину."
Evt1219_Select1,[Open the door],[Відчиняємо двері]
Evt1219_Select1_Random0_Seq0_Hint0,"The moment you open the door, a mob of infected comes pouring out.","Щойно ви відчиняєте двері, натовп інфікованих висипає назовні."
Evt1219_Select1_Random0_Seq1_Hint0,"The moment you open the door, you$STR_2re knocked unconscious from behind. You wake up and find many of your supplies missing. Somebody put a lot of effort into this trap.","Щойно ви відчиняєте двері, як вас$STR_2бивають ззаду і ви втрачаєте свідомість. Прокинувшись, ви бачите, що багато ваших речей зникло. Хтось доклав чимало зусиль, щоб влаштувати цю пастку."
Evt1219_Select2,[Observe from a distance],[Спостерігати здалеку].
Evt1219_Select2_Random0_Seq0_Hint0,"You observe the cabin for a while, eventually realizing that it$STR_2s full of infected. You should probably steer clear.","Ви деякий час спостерігаєте за кабіною, зрештою розуміючи, що в ній $STR_2 повно інфікованих. Вам краще триматися подалі."
Evt1219_Select2_Random0_Seq1_Hint0,"You observe the cabin for a while. Seeing nothing out of the ordinary, you decide to head inside.","Ви деякий час спостерігаєте за хатиною. Не побачивши нічого незвичайного, ви вирішуєте зайти всередину."
EventTitle1220,Signal - Let Me Out,Сигнал - Випусти мене
EventText1220,Your knock receives a prompt response. Someone—or something—is frantically pounding on the door from the inside.,На ваш стукіт миттєво реагують. Хтось - або щось - несамовито грюкає у двері зсередини.
Evt1220_Select0,[Open the door],[Відчиняємо двері]
Evt1220_Select0_Random0_Seq0_Hint0,"A crazed-looking man rushes out past you. He rambles incoherently at you for a few seconds, then falls over dead. You peer into the dark house he just emerged from and take a step inside.","Повз вас вибігає чоловік, схожий на божевільного. Кілька секунд він безладно вигукує щось на вашу адресу, а потім падає замертво. Ви вдивляєтеся в темний будинок, з якого він щойно вийшов, і робите крок усередину."
Evt1220_Select0_Random0_Seq1_Hint0,A mob of infected comes pouring out the door.,Натовп інфікованих висипає з дверей.
Evt1220_Select1,[Run away],[Тікай!]
Evt1220_Select1_Hint0,"Whatever$STR_2s pounding on that door, it can$STR_2t be good. You decide to get the hell out of dodge before it breaks out.","Що$STR_2 б не стукало в ці $STR_2 двері, це не може бути чимось добрим. Ви вирішуєте забратися з доджу до того, як він вирветься назовні."
EventTitle1221,Signal - Into Darkness,Сигнал - У темряву
EventText1221,"You begin making your way deeper into the cabin. The lights are off and the windows have been boarded up, leaving the interior pitch black. Fumbling around, you manage to find what feels like a candle.","Ви починаєте пробиратися вглиб салону. Світло вимкнене, а вікна забиті дошками, і в салоні темрява. Намацуючи, вам вдається знайти щось схоже на свічку."
Evt1221_Select0,[Light the candle],[Запалює свічку]
Evt1221_Select0_Random0_Seq0_Hint0,"There must be some sort of gas leak in here, because as soon as you spark a flame you$STR_2re rocked by a sudden explosion.","Мабуть, тут якийсь витік газу, бо як тільки ви запалюєте полум'я, вас$STR_2 струшує раптовий вибух."
Evt1221_Select0_Random0_Seq1_Hint0,"The candle illuminates the room, revealing a room full of infected, all staring at the flame you just lit. They pounce.","Свічка освітлює кімнату, відкриваючи кімнату, повну інфікованих, які дивляться на полум'я, яке ви щойно запалили. Вони накидаються."
Evt1221_Select0_Random0_Seq2_Hint0,The candle provides some much-needed illumination.,Свічка забезпечує таке необхідне освітлення.
Evt1221_Select1,[Wait for your eyes to adjust],"[Зачекайте, поки ваші очі звикнуть]"
Evt1221_Select1_Random0_Seq0_Hint0,"Once your eyes have adjusted to the darkness, you realize the room you$STR_2re in is full of infected. They don$STR_2t seem to have seen you. Good thing you didn$STR_2t light that candle.","Коли ваші очі зви$STR_2кнуть до $STR_2 темряви, ви зрозумієте, що кімната, в якій ви перебуваєте, повна інфікованих. Здається, вони$STR_2 вас не помітили. Добре, що ви не запалили свічку."
Evt1221_Select1_Random0_Seq1_Hint0,"You try to allow your eyes to adjust, but the cabin is just too dark. You$STR_2re still unable to see anything.","Ви намагаєтесь дозволити очам адаптуватися, але в салоні занадто темно. Ви$STR_2 все одно нічого не бачите."
Evt1221_Select2,[Leave],[Піти]
EventTitle1222,Signal - What Lies Beneath,Сигнал - що лежить під ним
EventText1222,"You search the cabin carefully. It seems relatively ordinary, until you find a trapdoor that the owners of the cabin seemed to have tried to keep hidden. You descend into the basement and find yourself in a small room, with a reinforced and padlocked door in front of you.","Ви ретельно обшукуєте хатину. Здається, що тут все відносно звичайне, аж поки ви не знаходите потайний хід, який власники хатини, схоже, намагалися приховати. Ви спускаєтесь у підвал і опиняєтесь у невеликій кімнаті, перед вами укріплені двері, зачинені на замок."
Evt1222_Select0,[Force the lock] (33% chance of success),[Примусове блокування] (33% шансів на успіх)
Evt1222_Select0_Random0_Seq0_Hint0,The lock doesn't budge. Do you want to try again?,Замок не відкривається. Хочеш спробувати ще раз?
Evt1222_Select1,[Pick the lock],[Відкриває замок]
Evt1222_Select2,[Leave the basement],[Вийдіть з підвалу]
EventTitle1223,Signal - What Lies Beneath 2,Signal - What Lies Under 2
EventText1223,"The basement is massive, easily larger than the cabin itself. Based on the rows of cells, it seems to have been a prison of some sort. Several of the cell doors appear to have been forcefully pried open. On the table next to you is a still-working ham radio, likely the source of the broadcast, as well as a letter and a box.","Підвал масивний, значно більший за саму хатину. Судячи з рядів камер, здається, що це була якась в'язниця. Кілька дверей камер, схоже, були виламані силою. На столі поруч лежить все ще працюючий радіоприймач, ймовірно, джерело трансляції, а також лист і коробка."
Evt1223_Select0,[Read the letter],[Читати лист].
Evt1223_Select0_Hint0,"$STR_1Dear stranger,\nIf you$STR_2re reading this, we$STR_2re probably dead by now. Either way, congratulations. You$STR_2ve managed to stumble upon hell on earth. The scum who ran this place used to kidnap folks from the nearby villages, keep them locked in here, then butcher them for meat. We had the misfortune of being some of these sausages-in-waiting.\nOne day, these brain geniuses kidnapped a guy who turned out to be infected. I could hear the sweet, sweet carnage all the way from here. They must have been wiped out, because after that day nobody ever came down into the basement again. \nWe managed to force our cell doors open after a while, but we couldn$STR_2t find a way to open the basement door. The radio still worked, so we$STR_2ve been broadcasting an SOS, hoping that some kind soul (or at least a curious one) would come save us. Thanks for coming, even if we$STR_2re already dead. Feel free to take what$STR_2s in the box.$STR_1","Любий незнайомець\nЯкщо ти$STR_1 читаєш ці $STR_1 рядки, то $STR_2 ми$STR_2, мабуть, уже мертві. У будь-якому ви$STR_2падку, вітаю. Тобі вдалося натрапити на пекло на землі. Покидьки, які керували цим місцем, викрадали людей з довколишніх сіл, тримали їх тут під замком, а потім різали на м'ясо. Ми$STR_2 мали нещастя бути одними з цих ковбасок в очікуванні.\nОдного разу ці генії мозку викрали хлопця, який виявився інфікованим. Я чула солодку, солодку різанину аж звідси. Їх, мабуть, знищили, бо після того дня до підвалу більше ніхто не спускався. \nЧерез деякий час нам вдалося відчинити двері наших камер, але ми$STR_2 не змогли знайти спосіб відчинити двері підвалу. Радіо все ще працювало, тому ми$STR_2 передавали сигнал SOS, сподіваючись, що якась добра душа (або хоча б цікава) прийде і врятує нас. Дякуємо, що прийшли, навіть якщо ми$STR_2 вже мертві. Не соромтеся брати те, що лежить у коробці."
Evt1223_Select1,[Open the box],[Відкрийте коробку]
Evt1223_Select2,[Search the prison],[Обшук у в'язниці]
Evt1223_Select2_If0_Then0_Hint0,"You find a person in one of the open cells. He$STR_2s delirious, but he$STR_2s still breathing!","Ви$STR_2 знаходите людину в одній з відкритих $STR_2 камер. Він марить, але ще дихає!"
Evt1223_Select2_If0_Else0_Hint0,You search the cells one by one. You find nothing but the rotting corpses of the prisoners.,"Ви обшукуєте камери одну за одною. Ви не знаходите нічого, окрім гниючих тіл в'язнів."
Evt1223_Select3,[Leave],[Піти]
Evt1223_Select3_Hint0,"Whatever was going on here, you decide you want no part in it.","Що б тут не відбувалося, ти вирішуєш, що не хочеш у цьому брати участь."
EventTitle1224,Cave - Into the Depths,Печера - у глибину
EventText1224,"Not far off the road, you see what seems to be a cave. After you disembark and get closer, you find an assortment of equipment scattered around the mouth of the cave. You$STR_2re unable to see the end of the cave from here.","Неподалік від дороги ви бачите щось схоже на $STR_2 печеру. Після того, як ви виходите і підходите ближче, ви бачите різноманітне спорядження, розкидане навколо входу в печеру. Звідси не видно кінця печери."
Evt1224_Select0,[Explore the cave],[Дослідити печеру]
Evt1224_Select1,[Come back later],[Приходьте пізніше]
EventTitle1225,Cave - 2-Way Fork,Печера - 2-стороння розвилка
EventText1225,In front of you is a 2-way fork.,Перед вами двостороння розвилка.
Evt1225_Select0,[Take the left path],[Йдіть лівою стежкою]
