LocalizedTable,en,uk
@People_84_PeopleName,Service Unit,Сервісна одиниця
@People_3000_PeopleName,Protagonist,Протагоніст
@People_85_PeopleName,Young Boy,Молодик
@People_86_PeopleName,Young Girl,Молодичка
@People_111_PeopleName,Worker,Робітник
@People_112_PeopleName,Worker,Робітник
@People_113_PeopleName,Worker,Робітник
@People_114_PeopleName,Worker,Робітник
@People_115_PeopleName,Worker,Робітник
@People_116_PeopleName,Worker,Робітник
@People_117_PeopleName,Worker,Робітник
@People_118_PeopleName,Worker,Робітник
@People_119_PeopleName,Worker,Робітник
@People_120_PeopleName,Worker,Робітник
@People_121_PeopleName,Worker,Робітник
@People_122_PeopleName,Worker,Робітник
@People_123_PeopleName,Worker,Робітник
@People_124_PeopleName,Worker,Робітник
@People_125_PeopleName,Worker,Робітник
@People_126_PeopleName,Worker,Робітник
@People_127_PeopleName,Worker,Робітник
@People_128_PeopleName,Worker,Робітник
@People_129_PeopleName,Worker,Робітник
@People_130_PeopleName,Worker,Робітник
@People_131_PeopleName,Worker,Робітник
@People_132_PeopleName,Worker,Робітник
@People_133_PeopleName,Worker,Робітник
@People_134_PeopleName,Worker,Робітник
@People_135_PeopleName,Worker,Робітник
@People_136_PeopleName,Worker,Робітник
@People_137_PeopleName,Worker,Робітник
@People_138_PeopleName,Worker,Робітник
@People_139_PeopleName,Worker,Робітник
@People_140_PeopleName,Worker,Робітник
@People_141_PeopleName,Worker,Робітник
@People_142_PeopleName,Worker,Робітник
@People_143_PeopleName,Worker,Робітник
@People_144_PeopleName,Worker,Робітник
@People_145_PeopleName,Worker,Робітник
@People_146_PeopleName,Worker,Робітник
@People_147_PeopleName,Worker,Робітник
@People_148_PeopleName,Worker,Робітник
@People_149_PeopleName,Worker,Робітник
@People_150_PeopleName,Worker,Робітник
@People_151_PeopleName,Rancher,Скотар
@People_152_PeopleName,Rancher,Скотар
@People_153_PeopleName,Rancher,Скотар
@People_154_PeopleName,Rancher,Скотар
@People_155_PeopleName,Rancher,Скотар
@People_156_PeopleName,Rancher,Скотар
@People_157_PeopleName,Rancher,Скотар
@People_158_PeopleName,Rancher,Скотар
@People_159_PeopleName,Rancher,Скотар
@People_160_PeopleName,Rancher,Скотар
@People_161_PeopleName,Rancher,Скотар
@People_162_PeopleName,Rancher,Скотар
@People_163_PeopleName,Rancher,Скотар
@People_164_PeopleName,Rancher,Скотар
@People_165_PeopleName,Rancher,Скотар
@People_166_PeopleName,Rancher,Скотар
@People_167_PeopleName,Rancher,Скотар
@People_168_PeopleName,Rancher,Скотар
@People_169_PeopleName,Rancher,Скотар
@People_170_PeopleName,Rancher,Скотар
@People_171_PeopleName,Farmer,Фермер
@People_172_PeopleName,Farmer,Фермер
@People_173_PeopleName,Farmer,Фермер
@People_174_PeopleName,Farmer,Фермер
@People_175_PeopleName,Farmer,Фермер
@People_176_PeopleName,Farmer,Фермер
@People_177_PeopleName,Farmer,Фермер
@People_178_PeopleName,Farmer,Фермер
@People_179_PeopleName,Farmer,Фермер
@People_180_PeopleName,Farmer,Фермер
@People_181_PeopleName,Farmer,Фермер
@People_182_PeopleName,Farmer,Фермер
@People_183_PeopleName,Farmer,Фермер
@People_184_PeopleName,Farmer,Фермер
@People_185_PeopleName,Farmer,Фермер
@People_186_PeopleName,Farmer,Фермер
@People_187_PeopleName,Farmer,Фермер
@People_188_PeopleName,Farmer,Фермер
@People_189_PeopleName,Farmer,Фермер
@People_190_PeopleName,Farmer,Фермер
@People_201_PeopleName,Photographer,Фотограф
@People_202_PeopleName,Engineer,Інженер
@People_203_PeopleName,Huckster,Торгаш
@People_204_PeopleName,Scholar,Вчений
@People_205_PeopleName,Rancher,Скотар
@People_206_PeopleName,Animal Handler,Дресирувач
@People_207_PeopleName,Fortune Teller,Ворожка
@People_208_PeopleName,Sharpshooter,Снайпер
@People_209_PeopleName,Adventurer,Авантюрист
@People_210_PeopleName,Assassin,Кілер
@People_211_PeopleName,Debt Collector,Колектор
@People_212_PeopleName,Fisherman,Рибалка
@People_213_PeopleName,Drifter,Волоцюга
@People_214_PeopleName,Mechanic,Механік
@People_215_PeopleName,Ex-Soldier,Колишній солдат
@People_216_PeopleName,Lawyer,Юрист
@People_217_PeopleName,Code Monkey,Простий кодер
@People_218_PeopleName,Librarian,Бібліотекар
@People_219_PeopleName,Knight Errant,Мандрівний лицар
@People_220_PeopleName,Gearhead,Технар
@People_221_PeopleName,Bard,Бард
@People_222_PeopleName,Bounty Hunter,Мисливець за головами
@People_224_PeopleName,Emperor,Імператор
@People_225_PeopleName,Test Subject,Піддослідний
@People_226_PeopleName,Cat,Кішка
@People_227_PeopleName,Troublemaker,Баламут
@People_228_PeopleName,Bank Clerk,Банківський клекр
@People_229_PeopleName,Puppet,Клон
@People_230_PeopleName,Merman,Русалка
@People_231_PeopleName,Slave,Раб
@People_232_PeopleName,Hunter,Мисливець
@People_233_PeopleName,Medic,Медик
@People_234_PeopleName,Hired Gun,Наймана Пушка
@People_235_PeopleName,Bassist,Басист
@People_236_PeopleName,Mechanic,Механік
@People_237_PeopleName,Tourist,Турист
@People_238_PeopleName,Adventurer,Авантюрист
@People_239_PeopleName,Rover,Бродяга
@People_301_PeopleName,Sea Captain,Морський капітан
@People_302_PeopleName,Idealist,Ідеаліст
@People_303_PeopleName,Gourmand,Гурман
@People_304_PeopleName,Broken Robot,Зламаний робот
@People_305_PeopleName,Girl,Дівчина
@People_215_PeopleRealName,Limbo,Limbo
@People_217_PeopleRealName,Wiggins,Віггінс
@People_225_PeopleRealName,Vicks,Вікс
@People_226_PeopleRealName,Nyx,Нікс
@People_229_PeopleRealName,SU-Z1E,SU-Z1E
@People_231_PeopleRealName,Angharad,Ангарад
@People_232_PeopleRealName,Jengus,Дженгус
@People_233_PeopleRealName,Manita,Маніта
@People_234_PeopleRealName,Lindsey,Ліндсі
@People_235_PeopleRealName,Jaco,Жако
@People_236_PeopleRealName,Felix,Фелікс
@People_239_PeopleRealName,Spencer,Спенсер
@People_301_PeopleRealName,Nemo,Немо
@People_302_PeopleRealName,Hiro,Хіро
@People_303_PeopleRealName,Auguste,Огюст
@People_304_PeopleRealName,Cassini,Кассіні
@People_305_PeopleRealName,Rosemary,Розмарин
@/PeoplePlot_0_Content,Some cities have a Depot where you can store items.,"У деяких містах є депо, де можна зберігати речі."
@/PeoplePlot_1_Content,"If someone leaves your Crew, you might see them again in the Bar some day.","Якщо хтось залишить вашу команду, ви можете колись знову побачити їх у Барі."
@/PeoplePlot_2_Content,"Water can be used to cool your engine, as well as for drinking.","Воду можна використовувати для охолодження двигуна, а також для пиття."
@/PeoplePlot_3_Content,"You can collect water by camping in the rain, or traveling along river banks. It's not as rare as you might think!","Ви можете набрати води, розташувавшись під дощем, або подорожуючи берегами річки. Це не така рідкість, як ви думаєте!"
@/PeoplePlot_4_Content,Don't just stand there. You gonna take a look at the Repair Shop or not?,Не cтій там. Ти будеш заглядати в Ремонтну майстерню чи ні?
@/PeoplePlot_5_Content,"If you're worried about running out of Tires on the road, I got some for sale. But I ain't running a charity here.","Якщо ви хвилюєтеся, що шини закінчаться в дорозі, я маю їх на продаж. Але я не займаюся тут благодійністю."
@/PeoplePlot_6_Content,"Knives, swords—if it's sharp, I've got it for sale. But they don't come cheap.","Ножі, мечі — якщо щось гостре, то це до мене. Але вони коштують недешево."
@/PeoplePlot_7_Content,You hungry? I got food for sale—at a very reasonable price.,Ви Голодні? Я маю їжу на продаж — за дуже прийнятною ціною.
@/PeoplePlot_8_Content,"If your Crafting stat is too low, you won't get the materials back when you fail at crafting.","Якщо ваша характеристика крафта надто низька, ви не отримаєте матеріали назад, при невдачі крафту."
@/PeoplePlot_9_Content,"If your Intellect is too low, you won't get the Books you spent back when you fail at studying.","Якщо ваш інтелект занадто низький, ви не отримаєте книги, які ви витратили, при спробі навчитися."
@/PeoplePlot_10_Content,The Library is the only place you can study Blueprints. Come check it out!,"Бібліотека — це єдине місце, де можна вивчати креслення. Зайдіть і перевірьте це!"
@/PeoplePlot_11_Content,You can use the equipment you already have to craft even better equipment.,"Ви можете використовувати обладнання, яке у вас вже є, щоб створити ще краще обладнання."
@/PeoplePlot_12_Content,"You gonna stand around all day, or buy something from the Store?",Ти збираєшся стояти цілий день чи купити щось у магазині?
@/PeoplePlot_13_Content,Woof!,Гав!
@/PeoplePlot_14_Content,"Attacking cities or owing debts could put bounty hunters on your tail. The Dustlands ain't completely lawless, you know.",Напади на міста або наявність боргів можуть поставити за вами на хвіст мисливців за головами. У Пилоземі десь ще існує закон.
@/PeoplePlot_15_Content,Bribing the guards ain't gonna get you in trouble. Everybody does it. But you should still watch your back.,Підкуп охоронців не призведе до проблем. Всі це роблять. Але вам все одно слід стежити за спиною.
@/PeoplePlot_16_Content,This here's the only place in town you can get a good hot shower! Take a load off and relax!,"Це єдине місце в місті, де можна прийняти гарячий душ! Зніміть навантаження і розслабтеся!"
@/PeoplePlot_17_Content,"If you can't afford to stay at an Inn, you can leave the city and set up camp somewhere. At least there ain't no infected within the city limits.","Якщо ви не можете дозволити собі зупинитися в Корчмі, ви можете залишити місто та розбити десь табір. Принаймні в межах міста заражених немає."
@/PeoplePlot_18_Content,"When there's less of a good in stock, the price will be higher. So the more of a good you buy, the more the price goes up. It's supply and demand, and there ain't much supply in the Dustlands.","Коли на складі буде менше товару, ціна буде вищою. Отже, чим більше товару ви купуєте, тим більше зростає ціна. Це попит і пропозиція, а пропозиції в Пилоземі небагато."
@/PeoplePlot_19_Content,"The base price is just a guide. Just 'cause you pay below the base price don't mean you're making a profit. Likewise, paying above the base price don't mean you're making a loss.","Базова ціна є орієнтовною. Те, що ви платите нижче базової ціни, не означає, що ви отримуєте прибуток. Подібним чином, оплата вище базової ціни не означає, що ви зазнаєте збитків."
@/PeoplePlot_20_Content,You think prices are high now? You oughta see how high they go when there's a shortage.,"Ви думаєте, що ціни зараз високі? Ви повинні побачити, як високо вони піднімаються, коли є дефіцит."
@/PeoplePlot_21_Content,"You wanna throw your weight around in the Dustlands, you'll need the best-quality Parts and equipment. The best stuff can't be bought—you gotta craft it yourself.","Якщо ви захочете тинятися в Пилоземі, вам знадобляться деталі та обладнання найкращої якості. Найкращі речі не можна купити — ви повинні створити їх самі."
@/PeoplePlot_22_Content,Click materials in the crafting tab to see where they can be found.,"Клацніть на матеріали на вкладці виготовлення, щоб побачити, де їх можна знайти."
@/PeoplePlot_23_Content,Parts and equipment cost resources. Make sure you keep an eye on 'em.,Деталі та обладнання коштує ресурсів. Слідкуйте за ними.
@/PeoplePlot_24_Content,Don't worry if you don't succeed when interacting with people at the Bar. Just keep trying!,"Не хвилюйтеся, якщо у вас не виходить спілкуватися з людьми в Барі. Просто продовжуйте намагатися!"
@/PeoplePlot_25_Content,Junk traders' asking prices are just a guide. You usually gotta give 'em a little more than what they ask.,"Ціни торговців мотлохом є лише орієнтиром. Зазвичай ви повинні дати їм трохи більше, ніж вони просять."
@/PeoplePlot_26_Content,New people will appear at the Bar every few days.,Кожні кілька днів у Барі з’являтимуться нові люди.
@/PeoplePlot_27_Content,What are ya loitering around for? Get in there and mingle!,Чого ти тиняєшся? Зайдіть туди та змішайтеся!
@/PeoplePlot_28_Content,Ya look kinda creepy standing outside like that... go in and talk to people!,"Якось моторошно виглядаєш, стоячи так надворі... заходь і говори з людьми!"
@/PeoplePlot_29_Content,"Some jobs might not look like they pay much, but if you're on the road, it doesn't hurt to make a little detour now and then.","Деякі професії можуть виглядати невисоко оплачуваними, але якщо ви в дорозі, не завадить час від часу робити невеликий огляд."
@/PeoplePlot_30_Content,"When you accept a job, they'll give you the goods. You don't need to go buy 'em yourself.","Коли ви приймаєте роботу, в більшості вони дадуть вам товар. Вам не потрібно йти купувати їх самому."
@/PeoplePlot_31_Content,"Syndicate members are busy folks. If you don't accept their jobs, they won't wait around for you to change your mind.","Члени синдикату – зайняті люди. Якщо ви не приймаєте їхню роботу, вони не чекатимуть, поки ви передумаєте."
@/PeoplePlot_32_Content,"Just because certain event choices have an attribute requirement, it doesn't mean they're the best ones.","Просто тому, що певні варіанти подій мають вимогу до атрибутів, це не означає, що вони найкращі."
@/PeoplePlot_33_Content,"When you encounter an event, it's usually clear what you should do. Choose carefully.","Коли ви стикаєтеся з подією, зазвичай зрозуміло, що вам потрібно робити. Вибирайте ретельно."
@/PeoplePlot_34_Content,"Encountering an event on the road isn't always a bad thing. Even if you get a bad result, you might not get a bad result if you make the same choice next time around.","Зустріти подію на дорозі – це не завжди погано. Навіть якщо ви отримаєте поганий результат, ви можете не отримати поганого результату, якщо наступного разу зробите той самий вибір."
@/PeoplePlot_35_Content,"Keep a close eye on your truck's Fuel gauge. Make sure you've always got enough to spare, or else you'll be screwed.","Уважно стежте за покажчиком рівня палива вашої вантажівки. Слідкуйте за тим, щоб у вас завжди було достатньо, інакше вам гаплик."
@/PeoplePlot_36_Content,Be careful when measuring distance. Terrain and weather can affect your driving. You might not be able to drive as far as you thought.,"Будьте обережні при вимірюванні відстані. Місцевість і погода можуть впливати на ваше водіння. Можливо, ви не зможете проїхати так далеко, як думали."
@/PeoplePlot_37_Content,"Gas Stations are spaced pretty far apart. By the time you realize you're out of Fuel, it might be too late.","Заправки розташовані досить далеко одна від одної. Коли ви зрозумієте, що у вас закінчилося Пальне, може бути вже надто пізно."
@/PeoplePlot_38_Content,Everybody's Appetite is different. Some people eat more than others. Make sure you don't use up your Food stash too quickly.,"Апетит у всіх різний. Деякі люди їдять більше, ніж інші. Переконайтеся, що запас їжі не витрачається занадто швидко."
@/PeoplePlot_39_Content,"The higher your Fitness, the less Fatigue you get from driving.","Чим вище ваша Фізична форма, тим менше ви відчуваєте Втому від водіння."
@/PeoplePlot_40_Content,Wanna hear a song? Great! I don't perform for free.,Хочеш почути пісню? Авжеш! Я не виступаю безкоштовно.
@/PeoplePlot_41_Content,"Just because you failed at haggling a few times, it doesn't mean you'll succeed on your next try.","Те, що вам не вдалося поторгуватися кілька разів, це не означає, що ви досягнете успіху під час наступної спроби."
@/PeoplePlot_42_Content,"If your Speech is high enough, it won't improve if you fail at haggling.","Якщо ваше Мова досить високо, вона не покращиться, при невчдачних торгах."
@/PeoplePlot_43_Content,I got guns. Lots of guns. But they don't come for free.,У мене є пушки. Багато пушок. Але вони не ростуть на дервах.
@/PeoplePlot_44_Content,"Word travels fast in the Dustlands. If you're up to no good, people will know about it.","Слово швидко мандрує Пилоземом. Якщо ви задумали погане, люди про це дізнаються."
@/PeoplePlot_45_Content,"If you want to increase your Virtue, you can try doing a few jobs. But that'll only get you so far.","Якщо ви хочете підвищити свою Честоту, ви можете спробувати виконати кілька завдань. Але це заведе вас лише так далеко."
@/PeoplePlot_46_Content,"If you've got any Wounded Crew members, send them my way. I charge a reasonable fee for my services.","Якщо у вас є поранені члени команди, надішліть їх мені. Я беру розумну плату за свої послуги."
@/PeoplePlot_47_Content,"Your truck consumes the same amount of Fuel no matter what Speed you drive at. Rain and other obstacles might slow you down, but it won't reduce your Fuel consumption.","Ваша вантажівка споживає однакову кількість пального незалежно від швидкості, з якою ви їдете. Дощ та інші перешкоди можуть сповільнити вас, але це не зменшить споживання палива."
@/PeoplePlot_48_Content,"Dust storms slow you to a crawl, and they're hell on your engine too. It's best to stop and wait them out.","Пилові бурі сповільнюють вас аж до повзання, і вони також завдають шкоди вашому двигуну. Найкраще зупинитися і почекати їх."
@/PeoplePlot_49_Content,"Any time you're fighting, you can choose to flee. But if you fail, you'll give the enemy a free turn.","Щоразу, коли ви боретеся, ви можете втекти. Але якщо вам не вдасться, ви дасте ворогу вільний хід."
@/PeoplePlot_50_Content,Shooting guns in a fight consumes Ammo. Some guns consume more Ammo than others.,"Стрільба з зброї під час бою витрачає Патрони. Деяка зброя споживає більше Патронів, ніж інші."
@/PeoplePlot_51_Content,Melee attacks in combat inflict Fatigue. Exhausted characters can't launch melee attacks.,Рукопашні атаки в бою викликають Втому. Виснажені персонажі не можуть здійснювати атаки ближнього бою.
@/PeoplePlot_52_Content,"If your Attack is lower than your opponent's, you risk getting Wounded whenever you launch a melee attack. Your chance of getting Wounded depends on the difference between the enemy's Attack and your Defense.","Якщо ваша атака нижча, ніж у супротивника, ви ризикуєте отримати поранення під час атаки ближнього бою. Ваш шанс отримати поранення залежить від різниці між атакою ворога та вашим захистом."
@/PeoplePlot_53_Content,Hey. We're just shooting the breeze. Wanna join us?,Привіт. Ми просто базікаємо. Приєднаєтеся?
@/PeoplePlot_54_Content,How about a little music? It'll cost ya.,Як щодо музичної паузи? Це обійдеться в копіїчку.
@/PeoplePlot_55_Content,"Come on, man, I ain't eaten in days...","Давай, чувак, я не їв кілька днів..."
@/PeoplePlot_56_Content,[The dog looks hungry.],[Собака виглядає Голодною.]
@/PeoplePlot_57_Content,"If your Scrap is weighing you down, you can try exchanging it for something that's more worth the weight.","Якщо ваш Брухт обтяжує вас, ви можете спробувати обміняти його на щось більш варте цієї ваги."
@/PeoplePlot_58_Content,Intellect is difficult to level up. Try talking to people with higher Intellect than you at the Bar.,"Інтелект важко підвищити. Спробуйте поговорити в Барі з людьми з вищим інтелектом, ніж у вас."
@/PeoplePlot_59_Content,"If your Crew members have big differences in Virtue, it could lead to problems when you have to make moral choices.","Якщо члени вашої команди мають великі відмінності в Чесноти, це може призвести до проблем, коли вам доведеться зробити моральний вибір."
@/PeoplePlot_60_Content,"If you want to leave a Crew member at the Bar, the best place to do it is inside your own city.","Якщо ви хочете залишити члена команди в Барі, найкраще це зробити у вашому місті."
@/PeoplePlot_61_Content,Don't venture too much into forests or hills when you're just starting out. It'll cost you a lot of fuel to get out again.,"Не забридайте в ліси чи пагорби дуже глибоко, коли ви тільки починаєте. Щоб знову вибратися, вам доведеться витратити багато пального."
@/PeoplePlot_62_Content,The negative effects of different terrain types can be mitigated by installing the right Parts.,"Негативний вплив різних типів місцевості можна пом’якшити, встановивши правильні Деталі."
@/PeoplePlot_63_Content,"Ammo isn't usually easy to find, but abandoned military bases usually have a good supply. You can search through them by yourself, or trade with survivors.","Патрони зазвичай знайти непросто, але на покинутих військових базах зазвичай їх достатньо. Ви можете шукати їх самостійно або торгувати з тими, хто вижив."
@/PeoplePlot_64_Content,"If you're in need of Food, farms always have plenty in stock.","Якщо вам потрібна Їжа, на фермах завжди є її вдосталь."
@/PeoplePlot_65_Content,I'm lookin' for things you can't find on the market...,"Я шукаю речі, які ви не можете знайти на ринку..."
@/PeoplePlot_4_Button,Enter,Введіть
@/PeoplePlot_5_Button,Buy,Купити
@/PeoplePlot_6_Button,Buy,Купити
@/PeoplePlot_7_Button,Buy,Купити
@/PeoplePlot_10_Button,Enter,Введіть
@/PeoplePlot_12_Button,Enter,Введіть
@/PeoplePlot_16_Button,Inn,Корчма
@/PeoplePlot_17_Button,Inn,Корчма
@/PeoplePlot_27_Button,Bar,Бар
@/PeoplePlot_28_Button,Bar,Бар
@/PeoplePlot_40_Button,OK,О'кей
@/PeoplePlot_43_Button,Buy,Купити
@/PeoplePlot_46_Button,Heal,Вилікувати
@/PeoplePlot_53_Button,OK,О'кей
@/PeoplePlot_54_Button,OK,О'кей
@/PeoplePlot_55_Button,OK,О'кей
@/PeoplePlot_56_Button,Feed,Годувати
@/PeoplePlot_65_Button,Buy,Купити
@/PeopleBuff_0_Name,Sweet Dreams,Солодкі сни
@/PeopleBuff_1_Name,Lucid Dreamer,Усвідомлений мрійник
@/PeopleBuff_2_Name,Nightmares,Кошмари
@/PeopleBuff_3_Name,Night Terrors,Нічні жахи
@/PeopleBuff_4_Name,Foodie,Вибагливий
@/PeopleBuff_5_Name,Gourmand,Гурман
@/PeopleBuff_6_Name,Picky Eater,Прискіпливий їдець
@/PeopleBuff_7_Name,Indigestion,Розлад травлення
@/PeopleBuff_8_Name,Violent,Жорстокий
@/PeopleBuff_9_Name,Bloodthirsty,Кровожерливий
@/PeopleBuff_10_Name,Pacifist,Пацифіст
@/PeopleBuff_11_Name,Cowardly,Боягузливий
@/PeopleBuff_12_Name,Puddle Lover,Любитель калюж
@/PeopleBuff_13_Name,Rain Man,Людина дощу
@/PeopleBuff_14_Name,Rain Hater,Ненависник дощу
@/PeopleBuff_15_Name,Rheumatism,Ревматизм
@/PeopleBuff_16_Name,Workhorse,Робоча конячка
@/PeopleBuff_17_Name,Full of Beans,Повний бобів
@/PeopleBuff_18_Name,Out of Shape,Не в формі
@/PeopleBuff_19_Name,Enervated,Знесилений
@/PeopleBuff_20_Name,Nibbler,Маленькокус
@/PeopleBuff_21_Name,Inedia,Inedia
@/PeopleBuff_22_Name,Peckish,Легкий Голод
@/PeopleBuff_23_Name,Glutton,Ненажера
@/PeopleBuff_24_Name,Optimist,Оптиміст
@/PeopleBuff_25_Name,Happy-Go-Lucky,Безтурботний
@/PeopleBuff_26_Name,Gloomy,Похмурий
@/PeopleBuff_27_Name,Depressive,Депресивний
@/PeopleBuff_28_Name,Good Sleeper,Хороший сон
@/PeopleBuff_29_Name,Heavy Sleeper,Міцний сон
@/PeopleBuff_30_Name,Light Sleeper,Крихкий сон
@/PeopleBuff_31_Name,Insomniac,Безсоння
@/PeopleBuff_32_Name,Veteran Driver,Водій-ветеран
@/PeopleBuff_33_Name,Ex-Racer,Колишній гонщик
@/PeopleBuff_34_Name,New Driver,Новенький водій
@/PeopleBuff_35_Name,Hates Driving,Ненавидить водіння
@/PeopleBuff_36_Name,Negotiator,Переговорник
@/PeopleBuff_37_Name,Silver Tongue,Підвішений язик
@/PeopleBuff_38_Name,Rude,Грубий
@/PeopleBuff_39_Name,Homophile,Гомофіл
@/PeopleBuff_40_Name,Heterophile,Гетерофіл
@/PeopleBuff_41_Name,Celibate,Целібат
@/PeopleBuff_42_Name,Impotent,Імпотент
@/PeopleBuff_43_Name,Cold Fish,Байдужа людина
@/PeopleBuff_44_Name,Party Person,Людина-компанія
@/PeopleBuff_45_Name,Party Animal,Людина-вечірка
@/PeopleBuff_46_Name,Introvert,Інтроверт
@/PeopleBuff_47_Name,Recluse,Відлюдник
@/PeopleBuff_48_Name,Lone Wolf,Самотній вовк
@/PeopleBuff_49_Name,Nyctophobia,Страх темряви
@/PeopleBuff_50_Name,Night Owl,Нічна сова
@/PeopleBuff_51_Name,Night Blindness,Куряча сліпота
@/PeopleBuff_52_Name,Night Driver,Нічний водій
@/PeopleBuff_53_Name,City Slicker,Городянин
@/PeopleBuff_54_Name,Urban Elite,Міська еліта
@/PeopleBuff_55_Name,Stinky,Смердючий
@/PeopleBuff_56_Name,Troublemaker,Баламут
@/PeopleBuff_57_Name,Accident-Prone,Схильний до аварій
@/PeopleBuff_58_Name,Drinker,Пияка
@/PeopleBuff_59_Name,Heavy Drinker,Запійник
@/PeopleBuff_60_Name,Teetotaler,Трезвенник
