Localization,en,uk
BarWindowScript_HappyChatInBar,chatting together at the Bar,спілкуватися разом у барі
BarWindowScript_HappyDrinkInBar,drinking together at the Bar,пили разом у барі
BarWindowScript_HaveABountyTask,You already have a bounty task.,У вас уже є завдання на людей.
BarWindowScript_HaveFun,Get Frisky,Загравати
BarWindowScript_Headache,{0} still feels drunk.,{0} усе ще почувається п’яним.
BarWindowScript_JunkDealer,Junk Dealer,Торговець мотлохом
BarWindowScript_LeaveMateInCity,Who do you want to stay in this city?,Ким ти хочеш залишитися в цьому місті?
BarWindowScript_LeaveMateInCity1,"[Note] Characters left behind in a city may leave. The bigger the city, the more likely they will leave (except in your cities).","[Примітка] Персонажі, які залишилися в місті, можуть піти. Чим більше місто, тим більша ймовірність, що вони виїдуть (за винятком ваших міст)."
BarWindowScript_LittleSucessfulTease,{0} is one smooth operator. Both sides think a little better of each other.,{0} є одним плавним оператором. Обидві сторони думають трохи краще одна про одну.
BarWindowScript_LowEloquence,Your Speech is too low. You utterly fail to strike up a conversation.,Ваша мова занадто низька. Вам абсолютно не вдається почати розмову.
BarWindowScript_LowerThePartyOpinion1,This will lower your relations with this character's faction. Proceed?,Це погіршить ваші відносини з фракцією цього персонажа. Продовжити?
BarWindowScript_LowerThePartyOpinion2,This will lower your relations with this faction whether you succeed or not. Proceed?,"Це погіршить ваші відносини з цією фракцією незалежно від того, вдасться вам це чи ні. Продовжити?"
BarWindowScript_LowMoralityForTask,Your Virtue is far too low for any trader to want to associate with you.,"Ваша Чеснота надто низька, щоб будь-який трейдер хотів асоціюватися з вами."
BarWindowScript_LowOpinionForChat,Your relations with this character's faction are too low ({0}). They don't want to associate with you. Spend {1} Scrap to buy them a drink?,"Ваші стосунки з фракцією цього персонажа надто низькі ({0}). Вони не хочуть з вами спілкуватися. Витратити {1} Брухту, щоб купити їм напій?"
BarWindowScript_MateMakeLove,"Companions {0} and {1} sneak off for some ""private time"". (Stress reduced.)","Компаньйони {0} та {1} викрадаються на деякий ""приватний час"". (Зниження Стресу.)"
BarWindowScript_NeedToPayBill,This character won't lift a finger until you pay them the salary you owe them ({0} Creds).,"Цей персонаж не поворухне й пальцем, доки ви не заплатите йому заборговану зарплату ({0} кредитів)."
BarWindowScript_NoMoney1,You don't have the money.,У вас немає грошей.
BarWindowScript_NoMoney3,You've got nothing. Zip. Zilch.,У тебе нічого немає. Пшик. пшик.
BarWindowScript_NoMoneyToTreat,Buy them a drink? With what money?,Купити їм напій? За які гроші?
BarWindowScript_NoOneAvailable1,No one is available to hire. Try again later.,Нікого не можна найняти. Повторіть спробу пізніше.
BarWindowScript_NoOneAvailable2,No one is available to hire.,Нікого не можна найняти.
BarWindowScript_NoOneCanHire,This city is too small. Nobody's looking for work.,Це місто занадто мале. Роботи ніхто не шукає.
BarWindowScript_NoOneDrunk,Nobody's drunk. You don't need the bathroom.,Ніхто не п'яний. Вам не потрібна ванна кімната.
BarWindowScript_NoPP,Not enough Clout.,Недостатньо Впливу.
BarWindowScript_NormalMakeLove,That wasn't bad. {0} feels a little better.\n(Stress reduced.),Це було непогано. {0} почувається трохи краще.\n(Стрес зменшився.)
BarWindowScript_NormalTease,"Your flirting efforts fail, but you avoid making a fool of yourself.","Ваші спроби фліртувати провалюються, але ви уникаєте робити з себе дурня."
BarWindowScript_NotIntrestingIn,This character is a {0}. You're not interested.,Цей персонаж є {0}. Вам не цікаво.
BarWindowScript_NoWater,There's no water.,Немає води.
BarWindowScript_OldFriendChat,"{0} and {1} are old friends. They chat happily together for a while. (Stress relieved, opinions increased.)","{0} і {1} давні друзі. Деякий час вони весело спілкуються разом. (Стрес знято, думки зросли.)"
BarWindowScript_GoodChat,{0} and {1} had a highly enjoyable conversation. (Stress reduced),{0} і {1} мали дуже приємну розмову. (Зниження Стресу)
BarWindowScript_LeaveBar,{0} has other things to do. They bid you farewell and leave the Bar.,{0} має інші справи. Вони прощаються з вами і залишають бар.
BarWindowScript_PartyOfPeople,Faction: {0},Фракція: {0}
BarWindowScript_ProsperityAndPeople,Increase your city's Prosperity to bring more people to your Bar.,"Збільште процвітання свого міста, щоб залучити більше людей до вашого бару."
BarWindowScript_PurchaseBounty,Bounty,Розшук
BarWindowScript_PurchaseScrap,Buy Junk,Купити мотлох
BarWindowScript_Quarrel,Argue,Сварка
BarWindowScript_Recruit,Hire,Найняти
BarWindowScript_resettle,Leave,Піти
BarWindowScript_Scavenger,Scavenger,Сміттяр
BarWindowScript_SetLabourMarket,Reach {0} Prosperity to enable the Labor Market.,"Досягніть процвітання {0}, щоб створити ринок праці."
BarWindowScript_SoberUp,Who do you want to sober up?,Кого ти хочеш протверезити?
BarWindowScript_Stranger,No one knows them.,Ніхто їх не знає.
BarWindowScript_StrangerChat,No one knows this person. What's their deal?,Цю людину ніхто не знає. Яка у них справа?
BarWindowScript_KnowHim,{0} knows them.,{0} їх знає.
BarWindowScript_NormalRelation,"{0} knows them, but not very well.","{0} знає їх, але не дуже добре."
BarWindowScript_BadRelation,{0} isn't on good terms with them.,{0} не в добрих стосунках із ними.
BarWindowScript_GoodRelation,{0} is on good terms with them.,{0} у добрих стосунках із ними.
BarWindowScript_OldFriend,{0} is an old friend of theirs.,{0} є їхнім старим другом.
BarWindowScript_SuccessfulExtortion,"You received a ""protection fee"" of {0} Scrap, and reduced their opinion of everyone in your crew.",Ви отримали «плату за захист» у розмірі {0} Брухту і знизили їхню думку про всіх у вашій команді.
BarWindowScript_SuccessfulTease,"{0} flirted with {1}. (Stress relieved, opinions increased.)","{0} фліртував із {1}. (Стрес знято, думки зросли.)"
BarWindowScript_SuccessRateToChat,Success Rate:,Коефіцієнт успішності:
BarWindowScript_Sweeten,Recruit,Найм
BarWindowScript_TeamEloquence,Crew Speech: ,Мова екіпажу:
BarWindowScript_TeamMember,Trucker,Далекобійник
BarWindowScript_Tease,Flirt,Флірт
BarWindowScript_ToManyCommissions,You have too many contracts. You can't take on any more for now.,У вас занадто багато контрактів. Ви більше не можете братися за це зараз.
BarWindowScript_TradeWaste,Trade Junk,Бартер мотлохом
BarWindowScript_Treat,Buy Drink,Купити Напій
BarWindowScript_TreatConfirm,Spend {0} Scrap to buy this character a drink and improve relations with their faction?,"Витратити {0} Брухту, щоб купити цьому персонажу напій і покращити відносини з його фракцією?"
BarWindowScript_TreatToDrink,Buy Drink,Купити Напій
BarWindowScript_Unemployed,Unemployed,Безробітний
BarWindowScript_UnhappyChatInBar,an excruciating conversation at the Bar,нестерпна розмова в барі
BarWindowScript_UnhappyDrinkInBar,a terrible time drinking at the Bar,жахливий час випивки в барі
BarWindowScript_WantMakeLove,{0} is a {1} with {2} Charm. Getting frisky with {3} will reduce Stress for:\n{4}\n\nCost: {5},{0} – це {1} із Чарами {2}. Загравання із {3} зменшить Стрес для:\n{4}\n\nВартість: {5}
BarWindowScript_WhatToDo,What do you want to do with them?,Що ти хочеш з ними робити?
BarWindowScript_WhichOneToTreat,Who's going to buy them a drink?,Хто їх напоїть?
BarWindowScript_Zhong,Ok,Добре
BarWindowScript_NoOneCanFlirt,There's no one to flirt with.,Нема з ким фліртувати.
BarWindowScript_ChooseOneToFlirt,Who do you want to flirt with?,з ким ти хочеш фліртувати?
BarWindowScript_FlirtBanLoyal,"{0} is faithful to their companion, and won't flirt with anyone else.",{0} вірний своїй супутниці та ні з ким не фліртує.
BarWindowScript_FlirtBanChild,{0} is a child. Pervert.,{0} є дитиною. Збоченець.
BarWindowScript_FlirtBanOrientation,{0} isn't interested in flirting with a {1}.,{0} не зацікавлений у флірті з {1}.
BarWindowScript_FlirtFailOrientation,Flirting failed. This character isn't interested in flirting with a {0}.,Флірт не вдався. Цей персонаж не зацікавлений у флірті з {0}.
BarWindowScript_FlirtFailCharm,Flirting failed. {0}'s Charm is too low.,Флірт не вдався. Чарівність {0} надто низька.
BarWindowScript_FlirtFailPunishment,{0}'s Stress increased. Both sides think worse of each other.,Підвищився Стрес {0}. Обидві сторони думають гірше одна про одну.
BarWindowScript_FlirtSuccessAward,{0}'s Stress was reduced. Both sides think better of each other.,Стрес {0} зменшився. Обидві сторони думають краще одна про одну.
BarWindowScript_CanGetFrisky,{0} is a {1} with {2} Charm. They're down to get frisky.,{0} – це {1} з чарівністю {2}. Вони готові стати жвавими.
BarWindowScript_GetFriskyCost,Cost: Scrap x{0},Вартість: Брухт x{0}
BarWindowScript_NoOneWantToGetFrisky,No one in your crew wants to get frisky.,Ніхто у вашій команді не хоче позагравати.
PartsPanel_AddSlot,Add Slot,Додати слот
PartsPanel_CarParts,Truck Parts,Частини до вантажівок
PartsPanel_Hint,[Note] You can't install the same Part twice,[Примітка] Ви не можете встановити ту саму частину двічі
PartsPanelScript_AddSlot,Spend {0} Core(s) to add a slot?,"Витратити {0} Ядер, щоб додати слот?"
PartsPanelScript_MaxSlot,Max slots reached,Досягнуто максимальної кількості слотів
PartsPanelScript_NoEquipment,Empty,Порожньо
PartsPanelScript_NoItem,Not enough supplies,Не вистачає запасів
PartsPanelScript_UpgradeOver,Upgrade complete,Покращення завершено
PartsWindow_CantInstall,Similar Part has already been installed,Подібна частина вже встановлена
PartsWindow_InstallConfirm,Spend {0} Scrap to install this Part?,Витратити {0} Брухту на встановлення цієї частини?
PartsWindow_NoGear,Not enough Scrap to install,Недостатньо Брухту для встановлення
PartsWindow_PartsInCar,Truck Parts,Частини до вантажівок
UpgradeWindow_UpgradeCost,{0} Scrap\n{1} Core(s),{0} Брухт\n{1} серцевини
AutoManager_MaxDurable,Your Hull is in perfect condition. No repairs needed.,Ваш Корпус в ідеальному стані. Не потребує ремонту.
CoolingPanelScript_CarCool,Your truck is in good condition.,Ваша вантажівка в хорошому стані.
CoolingPanelScript_Engine,Engine temperature reduction: ,Зниження температури двигуна:
CoolingPanelScript_EngineCool,Your engine temperature is 0.,Температура вашого двигуна 0.
CoolingPanelScript_NoWater,You have no Water.,У вас немає води.
CoolingPanelScript_Radiator,Radiator effect: ,Радіаторний ефект:
CoolingPanelScript_Time,Time: {0}h,Час: {0} год
CoolingPanelScript_Water,Water required: ,Необхідна вода:
CoolingPanel_Warning,Note: Cooling consumes Wastewater.,Примітка: для охолодження витрачається стічна вода.
FactoryWindow_FixDuration,Repair Hull,Ремонт Корпусу
FactoryWindow_Maintain,Repair truck,Ремонт вантажівки
FactoryWindow_Title,Truck Repairs,Ремонт вантажівок
FactoryWindow_Upgrade,Upgrade truck,Покращення вантажівки
FactoryWindow_CantFixEngine,Visit a city with a Repair Shop to repair the engine.,"Відвідайте місто з ремонтною майстернею, щоб відремонтувати двигун."
LookTire_dismantle,Remove,Видалити
LookTire_Hint,[Tip] You can mount Tires during repairs.,[Порада] Ви можете монтувати Шини під час ремонту.
LookTireScript_GainGear,You gained {0} Scrap removing a Tire.,"Ви отримали {0} Брухту, демонтуючи Шину."
LookTireScript_NoTyre,No Tires,Без Шин
MaintainWindow_AllGood,Engine: Good,Двигун: Хороший
MaintainWindow_Cost,{0} Scrap\n{1}m,{0} Брухт\n{1}м
MaintainWindow_TireFix,Fix 1 Tire,Лагодити 1 Шину
MaintainWindow_TireGood,Tires: Good,Шини: хороші
RepairPanel_GearCost,Scrap cost: {0}\nTools effect: {1},Витрата Брухту: {0}\nЕфект інструментів: {1}
RepairPanel_Hint,[Note] Repairs cost 5x more Scrap outside Repair Shops.,[Примітка] Ремонт коштує в 5 разів більше Брухту поза ремонтними майстернями.
SystemLevelUp_AutoChangeTyre,Auto-Change Tire,Автоматична заміна Шин
SystemLevelUp_CantDelete,Reduce the number of members in your crew before removing your trailer.,"Зменшіть кількість членів екіпажу, перш ніж знімати причіп."
SystemLevelUp_ChangeTyre,Tire changed.,Поміняна Шина.
SystemLevelUp_NoCore,{0} Core(s) required. You have {1}.,Потрібні Ядра: {0}. У вас є {1}.
SystemLevelUp_NoGear,{0} Scrap required. You have {1}.,Потрібен Брухт: {0}. У вас є {1}.
SystemLevelUp_NoGearForTyre,{0}: {1} Scrap required. You have {2}.,{0}: {1} потрібен Брухт. У вас є {2}.
SystemLevelUp_NoTyre,You don't have any Tires to replace the old ones.,"У вас немає Шин, щоб замінити старі."
SystemLevelUp_NoTyreWarning,You don't have any Tires to replace the old ones. (Auto-swap disabled.),"У вас немає Шин, щоб замінити старі. (Автозаміну вимкнено.)"
CookManager_GetRandomRecipe,Acquired recipe for {0},Отримано рецепт для {0}
CookManager_RecipeToString,{0} requires:\n{1}\nTime: {2},{0} вимагає:\n{1}\nЧас: {2}
CookManager_ToStringOptional,(Optional),(необов'язково)
CookUI_Recipe,Recipes,Рецепти
CookUIScript_Cook,You made {0}.,Ви зробили {0}.
CookUIScript_Inform1,Can't add two of the same ingredient.,Не можна додати два однакових інгредієнта.
CookUIScript_Inform2,Add at least one ingredient to cook.,Додайте хоча б один інгредієнт для приготування.
CookUIScript_Lack,Missing ingredients:,Відсутні інгредієнти:
CookUIScript_NotEnough,(Not enough ingredients),(Недостатньо інгредієнтів)
AreaType_WhereToFind,This material can be found at these locations.,Цей матеріал можна знайти в цих місцях.
SearchCity_Few,(Rare),(Рідкісний)
SearchCity_Many,(Common),(Розповсюджений)
SearchCityManager_FoundNothing,No supplies found.,Припаси не знайдено.
SearchCityManager_FoundSomething,Found: {0},Знайдено: {0}
BattleManager_AndAmmo,You also found {0} Ammo.,Ви також знайшли {0} Патронів.
BattleManager_BeatRob,defeating raiders,перемогти рейдерів
BattleManager_Combat1,You aren't in melee range. Skip turns until enemies are in melee range?,"Ви не в радіусі ближнього бою. Пропускати ходи, поки вороги не будуть на відстані ближнього бою?"
BattleManager_Combat2,You aren't in melee range.,Ви не в радіусі ближнього бою.
BattleManager_CombatResult,Battle Results,Підсумки битви
BattleManager_Death,{0} died from the Infection.,{0} помер від зараження.
BattleManager_Defend,<color=green><size=28>Blocked</size></color>,<color=green><size=28>Заблоковано</size></color>
BattleManager_Gain2,You gained {1} Scrap through {0}. {2},Ви отримали {1} Брухту через {0}. {2}
BattleManager_Gain3,{1} {2} Clout from {0}.,{1} {2} Вплив від {0}.
BattleManager_Get,You acquired {1} x{0}.,Ви придбали {1} x {0}.
BattleManager_Hurt1,They gained {0} Focus.,Вони отримали {0} Фокусу.
BattleManager_Hurt2,{0} was Wounded. {1},{0} був поранений. {1}
BattleManager_KillZombie,killing infected,вбивство заражених
BattleManager_LostPeople,Your city lost {0} people,Ваше місто втратило {0} осіб
BattleManager_LostThing,Your city lost {0} supplies,Ваше місто втратило {0} припасів
BattleManager_Miss,<color=orange><size=28>Missed</size></color>,<color=orange><size=28>Пропущено</size></color>
BattleManager_Miss2,<color=green><size=28>Missed</size></color>,<color=green><size=28>Пропущено</size></color>
BattleManager_NO,"No thanks, freak","Ні, дякую, виродок"
BattleManager_NoAmmo,Out of ammo,Закінчилися патрони
BattleManager_OK,I'm longing for long pig,Я сумую за людятиною
BattleManager_PeopleMeat,"There's bodies all over the place, laden with succulent, succulent meat. Wanna take some with you?","Повсюди валяються тіла, наповнені соковитим, соковитим м’ясом. Хочеш взяти з собою?"
BattleManager_Rob,robbery,пограбування
BattleManager_Run,Ran away,Втікти
BattleManager_SCGain,All defenders gained {0} EXP.,Усі захисники отримали <color=#8f1cd6>{0}</color> <color=#b8b82e>ОД</color>.
BattleManager_Surrender,Surrender,Капітуляція
BattleManager_Surrender1,We surrendered. A terrible fate awaits us.,Ми здалися. Жахлива доля чекає нас.
BattleManager_Surrender2,We failed to defend the city. A terrible fate awaits us.,Нам не вдалося захистити місто. Жахлива доля чекає нас.
BattleManager_UnderAtk,We were attacked due to our high Risk (current chance of being attacked every hour: {0}%).,Ми зазнали атаки через наш високий ризик (поточна ймовірність атаки щогодини: {0}%).
BattleManager_Vic,winning the battle,перемога в битві
BattleManager_Victory,Victory!,Перемога!
BattleManager_Zombie1,{0} avoided infection due to their antibodies.,{0} уникли інфекції завдяки своїм антитілам.
BattleManager_Zombie2,{0} has started to become Infected.,{0} почало заражатися.
BattleWindow_AccuracyPlus10,Acc. +10%,Точ. +10%
BattleWindow_AccuracyPlus15,Acc. +15%,Точ. +15%
BattleWindow_AccuracyPlus20,Acc. +20%,Точ. +20%
BattleWindow_AccuracyPlus25,Acc. +25%,Точ. +25%
BattleWindow_AccuracyPlus30,Acc. +30%,Точ. +30%
BattleWindow_AccuracyPlus35,Acc. +35%,Точ. +35%
BattleWindow_AccuracyPlus5,Acc. +5%,Точ. +5%
BattleWindow_CloseCombat,Melee,Рукопашний бій
BattleWindow_Defend,Defend,Захист
BattleWindow_EndRound,End Turn,Закінчити хід
BattleWindow_Escape,Run,Втеча
BattleWindow_Night,Night Acc. Penalty: Halved,Нічна Точ. Штраф: половина
BattleWindow_Salvo,Volley,Залп
BattleWindow_Surrender,Surrender,Капітуляція
BattleWindow_Throw,Throw,Кинути
BattleWindow_ThrowAndCombat,Melee + Throw,Рукопашний бій + Кидок
BattleWindowScript_BasicSuccess,Base Success Rate: ,Базовий рівень успіху:
BattleWindowScript_BulletConsumption,Ammo Cost: ,Спожив. Патронів:
BattleWindowScript_CantThrow,Out of range,Поза діапазоном
BattleWindowScript_CarDurability,Truck Hull: ,Корпус вантажівки:
BattleWindowScript_CombatPoint,Melee Attack: ,Ближній бій:
BattleWindowScript_Defense,Defense: ,Захист:
BattleWindowScript_EnemyCombatPoint,Enemy Attack: ,Атака ворога:
BattleWindowScript_Noise,    Noise: ,Шум:
BattleWindowScript_Notice1,"Enemies over 2 tiles away from your truck can only be attacked from range. You can choose a specific character to shoot, or select [Volley].",Ворогів на відстані понад 2 тайли від вашої вантажівки можна атакувати лише з дистанції. Ви можете вибрати певного персонажа для стрільби або вибрати [Залп].
BattleWindowScript_Notice2,The [Volley] command will make all truckers shoot at the same time. Firing a gun costs Ammo. Wounded or Exhausted truckers cannot shoot.,Команда [Залп] змусить усіх далекобійників стріляти одночасно. Стрільба з рушниці коштує Патронів. Поранені або виснажені далекобійники не можуть стріляти.
BattleWindowScript_Notice3,"Accuracy represents a trucker's chance of hitting a target with a gun. Accuracy is affected by distance, attributes, and equipment. Being a member of Mil-Sec increases your damage dealt with guns.","Точність означає шанс далекобійника вразити ціль зі зброї. На точність впливають відстань, атрибути та обладнання. Бути членом Mil-Sec збільшує вашу шкоду, завдану зброєю."
BattleWindowScript_Notice4,"The closer an enemy, the higher your chance of hitting them with a shot. At the end of each turn, enemies will advance 1 tile. If your enemies are far away and you want to conserve ammo, you can use the [End Turn] command to skip a turn and allow your enemies to come closer.","Чим ближче ворог, тим вище ваш шанс вразити його пострілом. У кінці кожного ходу вороги просуваються на 1 тайл. Якщо ваші вороги далеко, а ви хочете заощадити боєприпаси, ви можете скористатися командою [Закінчити хід], щоб пропустити хід і дозволити ворогам підійти ближче."
BattleWindowScript_Notice5,"When an enemy is within 2 tiles, you can attack them with melee and throwing projectiles (the [Throw] command will appear if you have a projectile equipped).","Коли ворог знаходиться в радіусі 2 тайлів, ви можете атакувати його ближнім бою та метанням снарядів (команда [Кидок] з’явиться, якщо у вас є снаряд)."
BattleWindowScript_Notice6,Truckers have a chance to get Wounded when fighting in melee. Wounded truckers will die in 4-8 days if they aren't healed.,"Далекобійники мають шанс отримати поранення під час бою в ближньому бою. Поранені далекобійники помруть через 4-8 днів, якщо їх не вилікувати."
BattleWindowScript_Notice7,"Want to go toe-to-toe with the baddest enemies around? Besides recruiting truckers with high combat attributes, you can also [Craft] a variety of weapons, projectiles, and gear.","Хочете зіткнутися з найлютішими ворогами? Окрім найму далекобійників із високими бойовими якостями, ви також можете [створювати] різноманітну зброю, снаряди та спорядження."
BattleWindowScript_PeopleBattleInfo,Ranged Damage: {0} Ammo: {1} Accuracy: {2}%,Шкода на дистанції: {0} Патрони: {1} Точність: {2}%
BattleWindowScript_RangedDefense,    Ranged Defense: ,Дальній захист:
BattleWindowScript_Retreat,Flee,Тікаймо
BattleWindowScript_ShootAccuracy,Accuracy: ,Точність:
BattleWindowScript_ShootDamage,Damage: ,Шкода:
BattleWindowScript_Throw,Throw {0},Кинути {0}
FallBackUI_Burn,Burn Fuel,Спалювати Паливо
FallBackUI_Drop,Decoy,Приманка
FallBackUI_Run,Just Run,Просто бігти
FallBackUI_Title,Scram!,Змиваймося!
FallBackUIScript_FailandBattle,Failed to flee. Prepare for battle!,Втекти не вдалося. Готуйтеся до бою!
FallBackUIScript_FailEscape,Failed to Flee,Не вдалося втекти
FallBackUIScript_Gas,Fuel: ,Паливо:
FallBackUIScript_NeedResource,You don't have enough resources.,У вас недостатньо ресурсів.
FallBackUIScript_NoCost,None,Ні.
FallBackUIScript_SucceedEscape,You bravely ran away.,Ти сміливо втік.
FallBackUIScript_ZombieMeat,Infected Meat: ,Інфіковане м'ясо:
UnderAttackUI_CantRun,Can't Run,Неможливо втікти
UnderAttackUI_QuickBattle,Quick Battle,Швидкий бій
UnderAttackUI_FastBattle,Fight,Боротьба
UnderAttackUI_Hint,The enemy caused your crew to panic.,Ворог викликав у екіпажу паніку.
ArchivementMono_DataAlert,"Because you did not have enough memory or force-quit the game the last time achievements were synced, your achievement data has been corrupted. It needs to be re-initialized.","Оскільки під час останньої синхронізації досягнень вам не вистачило пам’яті або ви примусово вийшли з гри, ваші дані досягнень було пошкоджено. Його потрібно повторно ініціалізувати."
ArchivementMono_DataSync,"Syncing data, do not quit the game.","Синхронізація даних, не виходьте з гри."
ArchivementPanel_NotUnlock,You have not unlocked this achievement.,Ви не розблокували це досягнення.
Chinese,简体中文,简体中文
Common_Achievement,Achievements,Досягнення
Common_Alert,Warning,УВАГА
Common_Cancel,Cancel,<size=24>Скасувати</size>
Common_ChooseQuantity,Quantity,Кількість
Common_CityController,City Owner: ,Власник міста:
Common_Comfort,Console,Втіха
Common_Comma,", ",","
Common_EnumerationComma,", ",","
Common_Colon,: ,:
Common_Period,. ,.
Common_Confirm,Confirm,<size=24>Підтвердити</size>
Common_Disgust,Dislikes,Відраза
Common_Equip,Equip,Обладнати
Common_Equipment,Equipment,Обладнання
Common_Exp,EXP,<color=#b8b82e>ОД</color>
Common_Failure,Failure,Провал
Common_Favorability,Opinions,Відносини
Common_Inform,Notification,Сповіщення
Common_Intelligence,Intel,Розвідка
Common_ItemInfo,Item Info,Опис предмету
Common_ItemRemain,Owned: ,У власності:
Common_LackBook,Not enough books,Не вистачає книжок
Common_Locate,Locate,Знайти
Common_Log,Log,Журнал
Common_LoseMoney,Lost {0} Creds,Втрачено {0} кредитів
Common_MakeLove,Hook Up,Переспати
Common_Mate,Trucker,Далекобійник
Common_OutWithOld,Out With the Old,Геть старе
Common_Parts,Parts,Частини
Common_Prefer,Preferences,Уподобання
Common_ProductionTitle,Produces: ,Виробляє:
Common_Quantity,Quantity: ,Кількість:
Common_ReferencePrice,Base price: ,Базова ціна:
Common_Remain,Left: {0},Залишилося: {0}
Common_Remove,Remove,Видалити
Common_RemoveEquip,Unequip,Зняти
Common_Resource,Resources,Ресурси
Common_SkillInfo,Skill Info,Навички
Common_Stock,Truck Inventory,Інвентар вантажівки
Common_TotWeight,Weight:,Вага:
Common_Warning,Warning,УВАГА
Common_Weight,Weight: ,Вага:
Confirm_Good,OK,Добре
Confirm_HaoBa,Okay,Гаразд
Confirm_HaoDe,Alright,Добре
Confirm_ShiDe,Yes,Так
Confirm_WoZhiDaoLe,Understood,Зрозумів
Confirm_XingBa,Fine,Добре
Confirm_ZaiJian,Bye,До побачення
Confirm_ZhiDaoLe,Got it,Втямив
CookUI_Batch,Bulk,Масово
CookUI_Cook,Cook,Готувати
Data_AutoSave,"Autosaving, do not quit the game.","Автозбереження, не виходити з гри."
Data_FastSave,"Quicksaving, do not quit the game.","Швидке збереження, не виходьте з гри."
Data_GameOver1,"You've been dusted. Without its protagonist, your story has come to an end. Game over.",Ви стерли пил. Без головного героя ваша історія підійшла до кінця. Гра закінчена.
Data_GameOver2,"With your truckers all badly wounded and no medical supplies on hand, you have no choice but to slowly wait for death. Game over.","Оскільки всі ваші далекобійники важко поранені, а медикаментів немає, у вас немає іншого вибору, окрім як повільно чекати смерті. Гра закінчена."
Data_GameOver3,There's nobody left on your truck. Game over.,У вашій вантажівці нікого не залишилося. Гра закінчена.
Data_GameOver4,You're stranded in the middle of nowhere. Game over.,Ви застрягли в пустелі. Гра закінчена.
Data_GameOver5,Your truck has been reduced to a heap of scrap. Game over.,Вашу вантажівку перетворили на купу Брухту. Гра закінчена.
Data_LoadWrong,Save file is incompatible or does not exist.,Збережений файл несумісний або не існує.
Data_NeedDLC,Requires DLC.,Потрібне DLC.
