LocalizedMap,en,uk
CityName_12_7,Hope Springs Fuel Depot,Паливний склад Хоуп-Спрінгс
CityName_12_8,Upward Rise Industrial Complex,Промисловий комплекс Upward Rise
CityName_12_9,Midas Touch Factory,Midas Touch Factory
CityName_12_10,NuLife Factory,Фабрика NuLife
CityName_12_11,Esthorne Factory,Фабрика Есторн
CityName_12_12,LinkUp Factory,LinkUp Factory
CityName_12_13,Nearly-New Factory,Майже новий завод
CityName_12_14,Tenda Industrial Park,Індустріальний парк Тенда
CityName_12_15,Peach Garden Farm,Ферма «Персиковий сад».
CityName_12_16,Blessed Burrows Farm,Ферма Блаженних Берроуз
CityName_12_17,Moonshine Farm,Самогонна ферма
CityName_12_18,Homecoming Farm,Ферма повернення додому
CityName_12_19,Brigid Farm,Ферма Бригід
CityName_12_20,Adastra,Адастра
CityName_12_21,Ember City,Ембер Сіті
CityName_12_22,Sweet Moments Farm,Ферма солодких моментів
CityName_12_23,Happy Family Farm,Щаслива сімейна ферма
CityName_12_24,Burngrave Fuel Depot,Паливний склад Burngrave
CityName_12_25,Old Glory Fuel Depot,Паливний склад Старої Слави
CityName_12_26,Vallon Fuel Depot,Vallon Fuel Depot
CityName_12_27,Passin' Through Gas Station,Проїзд через АЗС
CityName_12_28,Bigman Gas Station,АЗС Бігмен
CityName_12_29,Haunted Gas Station,Заправка з привидами
CityName_12_30,Weary Cloud Gas Station,АЗС Weary Cloud
CityName_12_31,Pondview Gas Station,АЗС Pondview
CityName_12_32,Wayback Gas Station,АЗС Wayback
CityName_12_33,Whitehair Forest Gas Station,АЗС Whitehair Forest
CityName_12_34,No-Worries Gas Station,Безтурботна АЗС
CityName_12_35,Home Folks Farm,Home Folks Farm
CityName_12_36,Thunderhead,Thunderhead
CityName_12_37,Pearlville,Перлвіль
CityName_12_38,Little Drop,Маленька крапелька
CityName_12_39,Wide Plains,Широкі рівнини
CityName_12_40,Crucible,Тигель
CityName_12_41,Rushing Rise,Стрімкий підйом
CityName_12_42,Sleepless Hollow,Безсонна Лощина
CityName_12_43,Joystock,Джойсток
CityName_12_44,Dewdrop Farm,Ферма «Росинка».
CityName_12_45,Ptoma,Птома
CityName_12_46,Slipworm,Сліпун
CityName_12_47,Unity Military Depot,Єдність військовий склад
CityName_12_48,Landfill,Звалище
CityName_12_49,Foothills Landfill,Передгірський полігон
CityName_12_50,Landfill,Звалище
CityName_12_51,Mid-Valley Landfill,Полігон Мід-Веллі
CityName_12_52,Aeolus Military Base,Військова база Еол
CityName_12_53,El Tufo Landfill,Полігон Ель-Туфо
CityName_12_54,Cattywampus Landfill,Звалище Cattywampus
CityName_12_55,Landfill,Звалище
CityName_12_56,Landfill,Звалище
CityName_12_57,Skewampus Landfill,Сміттєзвалище Скевампус
CityName_12_58,Landfill,Звалище
CityName_12_59,Landfill,Звалище
CityName_12_60,Elite Military Base,Елітна військова база
CityName_12_61,Ramshackle Landfill,Полігон ТПВ
CityName_12_62,Dionysia,Діонісія
CityName_12_63,Twilight Rest Stop,Сутінкова зупинка відпочинку
CityName_12_64,Gorgeville,Gorgeville
CityName_12_65,Homestead,Садиба
CityName_12_66,Puppy Palace Gas Station,АЗС Puppy Palace
CityName_12_67,4S Gas Station,АЗС 4S
CityName_12_68,Purewater Gas Station,АЗС Purewater
CityName_12_69,Mathlete Gas Station,Заправка Mathlete
CityName_12_70,Forest Lookout,Лісовий оглядовий майданчик
CityName_12_71,Teapicker Gas Station,АЗС Teapicker
CityName_12_72,Oilfield Gas Station,Нафтопромислова АЗС
CityName_12_73,The Ol' Gas Station,Заправка Оль
CityName_12_74,Last Stop Gas Station,Остання зупинка АЗС
CityName_12_75,Vaxville,Ваксвіль
CityName_12_76,Saint Critter,Святий Критер
CityName_12_77,Foxton,Фокстон
CityName_12_78,Ordinary Gas Station,Звичайна АЗС
CityName_12_79,Daveton,Дейвтон
CityName_12_80,Goldsands,Золоті піски
CityName_12_81,Chicken Farm,Куряча ферма
CityName_12_82,Beerville,Бірвіль
CityName_12_83,Refugee Camp Lookout,Оглядовий майданчик табору біженців
CityName_12_84,Flockville,Флоквіль
CityName_12_85,Southern Lookout,Південний оглядовий майданчик
CityName_12_86,Northern Lookout,Північний оглядовий майданчик
CityName_12_87,Faraway Rest Stop,Далека зупинка відпочинку
CityName_12_88,Midwife Rest Stop,Зупинка відпочинку акушерки
CityName_12_89,Still River Rest Stop,Зупинка відпочинку на річці Стилл
CityName_12_90,Gateway Rest Stop,Зупинка відпочинку Gateway
CityName_12_91,Cottonville,Коттонвіль
CityName_12_92,Wetland Gas Station,Заправка Wetland
CityName_12_93,Pick-Me-Up Gas Station,Автозаправна станція Pick-Me-Up
CityName_12_94,Griddleville,Гріддвіль
CityName_12_95,Blanket Rest Stop,Зупинка відпочинку з ковдрою
CityName_12_96,Cornucopia,Ріг достатку
CityName_12_97,Tectura,Tectura
CityName_12_98,Lumberville,Ламбервіль
CityName_12_99,Cirque des Déchets,Cirque des Déchets
CityName_12_100,Dustland Arena,Dustland Arena
CityName_12_101,Dustland Mutual (Mount Catridge Branch),Dustland Mutual (Mount Catridge Branch)
CityName_12_102,Pickplatz,Пікплац
CityName_12_103,Dustland Mutual (Esprit Mountain Branch),Dustland Mutual (Esprit Mountain Branch)
CityName_12_104,Big Stink Landfill,Великий смердючий полігон
CityName_12_105,Dustland Mutual (Mount Bellow Branch),Dustland Mutual (Mount Bellow Branch)
CityName_12_106,Crow River Gas Station,АЗС Crow River
CityName_12_107,Tailwind Gas Station,АЗС Tailwind
CityName_12_108,Whitedew,Біла роса
CityName_12_109,Iguanata,Ігуаната
CityName_12_110,Mothwood Pharmaceuticals,Mothwood Pharmaceuticals
CityName_12_111,Triumph Military Base,Військова база «Тріумф».
CityName_12_112,Hirondelle,Гірондель
CityName_12_113,Lost Deer Military Base,Військова база Загублений Олень
CityName_12_114,Commorancy,Коморанці
CityName_12_115,Longyield Farm,Ферма Довгоїлд
CityName_12_116,Westwatch,Westwatch
CityName_12_117,Windy Slope Farm,Ферма Вітряного Схилу
CityName_12_118,Reedhollow Farm,Ферма Рідхоллоу
CityName_12_119,Muddy Gulf Gas Station,АЗС Muddy Gulf
CityName_12_120,Shriveled Tree Landfill,Сміттєзвалище зморщених дерев
CityName_12_121,Scrubdown Landfill,Зачищення сміттєзвалища
CityName_12_122,Rockshoal Landfill,Полігон Rockshoal
CityName_12_123,Clammy Hand Landfill,Звалище липких рук
CityName_12_124,El Seco Landfill,Полігон Ель-Секо
CityName_12_125,Dirt Mound Landfill,Сміттєзвалище Грунтовий курган
CityName_12_126,Outer Forest Landfill,Зовнішній лісовий полігон
CityName_12_127,El Caserón Landfill,Полігон Ель-Касерон
CityName_12_128,Mudstuck Landfill,Сміттєвий полігон
CityName_12_129,El Asolado Landfill,Полігон Ель-Асоладо
CityName_12_130,El Picado Landfill,Полігон Ель-Пікадо
CityName_12_131,El Lecho Landfill,Полігон Ель Лечо
CityName_12_132,Riverbed Landfill,Полігон ТПВ
CityName_12_133,Swampbound Landfill,Заболочене звалище
CityName_12_134,Sandstorm Landfill,Полігон піщаної бурі
CityName_12_135,El Yermo Landfill,Полігон Ель Єрмо
CityName_12_136,Los Tábanos Landfill,Полігон Лос-Табанос
CityName_12_137,Downstream Landfill,Полігон за течією
CityName_12_138,El Olvidado Landfill,Полігон Ель Ольвідадо
CityName_12_139,Underhill Landfill,Підгорний полігон
CityName_12_140,Nothin' Special Landfill,Нічого особливого
CityName_12_141,Muddy Mire Landfill,Сміттєзвалище Мутне болото
CityName_12_142,Cobblestone Landfill,Бруківка Полігон
CityName_12_143,Lotta Luck Gas Station,АЗС Lotta Luck
CityName_12_144,Foggy Cove,Туманна бухта
CityName_12_145,Raccoon Tail Military Base,Військова база «Хвіст єнота».
CityName_12_146,Arcadia Farm,Хутір Аркадія
CityName_12_147,Sandy Patch Landfill,Піщаний полігон
CityName_12_148,La Collina Landfill,Полігон Ла Колліна
CityName_12_149,Road Construction Bureau HQ,Штаб дорожньо-будівельного бюро
CityName_12_150,Road Construction Bureau (Bucktooth Mountains Branch),Дорожньо-будівельне бюро (філія Bucktooth Mountains)
CityName_12_151,Road Construction Bureau (Mount Bellow Branch) ,Дорожньо-будівельне бюро (філія Mount Bellow) 
CityName_12_152,Road Construction Bureau (Azucarado Woods Branch) ,Дорожньо-будівельне бюро (філія Азукарадо Вудс) 
CityName_12_153,Road Construction Bureau (Muddymouth River Branch) ,Дорожньо-будівельне бюро (філія Маддімут-Рівер) 
CityName_12_154,Road Construction Bureau (Nekhbet Mountains Branch) ,Дорожньо-будівельне бюро (філія Нехбетських гір) 
CityName_12_155,Road Construction Bureau (Still River Branch) ,Дорожньо-будівельне бюро (філія Still River) 
CityName_12_156,Dustland Mutual (Lost Deer Mountains Branch),Dustland Mutual (філія Lost Deer Mountains)
CityName_88_1,Road Construction Bureau (Mustwind Cave Branch),"Дорожньо-будівельне бюро (філія ""Печера Маунтінд"")"
CityName_88_2,Verdanton,Вердантон
CityName_88_3,Brighthope,Брайтхоуп.
CityName_88_4,Road Construction Bureau (Wolfden Branch),"Бюро дорожнього будівництва (філія ""Вольфден"")"
CityName_88_5,Lunalux,Lunalux
CityName_88_6,Narrowmarrow,Вузькопрофільний.
CityName_88_7,Military Base,Військова база
CityName_88_8,Nirvana,Нірвана
CityName_88_9,Curtain Mountains Station,Станція Шторні гори
CityName_88_10,Arcadia Station,"Станція ""Аркадія"
CityName_88_11,Road Construction Bureau (Bitterrock Cave Branch),"Бюро дорожнього будівництва (філія ""Печера Біттеррок"")"
CityName_88_12,Levelleux,Levelleux
CityName_88_13,Crystal Hills,Кристал Хіллз
CityName_88_14,Skysight City,Скайсайт Сіті
CityName_88_15,New Taranis,Нові Тарани.
CityName_88_16,Road Construction Bureau (Hazefume Swamp Branch),"Бюро дорожнього будівництва (філія ""Болото Хазефуме"")"
CityName_88_17,Pemberton,Пембертон
CityName_88_18,Sitdown,Сідай.
CityName_88_19,Ratzplatz,Рацплац
CityName_88_20,Triumph City,Тріумф-Сіті
CityName_88_21,Veedebs,Veedebs
CityName_88_22,Cluckmill,Кукурудзяний млин.
CityName_88_23,Otakura,Отакура.
CityName_88_24,Riverbottom,Дно річки
CityName_88_25,Old Centralia,Стара Централія
CityName_88_26,Beefos Aires,Бефос Айрес
CityName_88_27,Scoville,Сковілль.
CityName_88_28,Gracegreen,Грейсгрін.
CityName_88_29,North Depot,Північне депо
CityName_88_30,Civitas,Civitas
CityName_88_31,Solidarity,Солідарність
CityName_88_32,Daydream Distillery,Daydream Distillery
CityName_88_33,Honeyroot,Медовий корінь
CityName_88_34,Silverclad,Сріблястий
CityName_88_35,Coldcairn,Колдкерн
CityName_88_36,Bacchanal,Вакханалія
CityName_88_37,Smoketown,Smoketown
CityName_88_38,Crescent Corner,Кут півмісяця
CityName_88_39,Cullver City,Калвер Сіті
CityName_88_40,Sweetsteep,Sweetsteep.
CityName_88_41,Tigerbaum,Тигербаум
CityName_88_42,Convectio,Convectio
CityName_88_43,Lupinneck,Люпинова шия
CityName_88_44,Awoorcester,Авурчестер
CityName_88_45,Ironpelt Tannery,"Шкіряний завод ""Айронпелт"
CityName_88_46,Wolfden,Вульфден.
CityName_88_47,Pearlescenter,Pearlescenter
CityName_88_48,Gemologgia,Гемологія
CityName_88_49,Hotcuppa,Гарячий чай
CityName_88_50,Wiltworth,Вілтворт.
CityName_88_51,Dustland Mutual (Craftsman's Cave Branch),"Dustland Mutual (філія ""Печера майстрів"")"
CityName_88_52,Embarkadero,Embarkadero
CityName_88_53,Metanoia,Метанойя
CityName_88_54,Caliente,Caliente
CityName_88_55,Redstone,Редстоун
CityName_88_56,Ribbiton,Стрічка
CityName_88_57,Tailtower,Хвостова вежа
CityName_88_58,New Pork City,Нове місто свиней
CityName_88_59,Hidden Haven,Прихований Притулок
CityName_88_60,Fermenton,Ферментон
CityName_88_61,Schistville,Шиствілль
CityName_88_62,Chubb's Rest,Chubb's Rest
CityName_88_63,Gallipoti,Галліпоті.
CityName_88_64,Basilisco,Базіліско
CityName_88_65,Dryleaf,Сухоцвіт
CityName_88_66,Metropol,Митрополит
CityName_88_67,Storm Falls,Сторм Фолс
CityName_88_68,Stargaze,Зоряний погляд.
CityName_88_69,Damaskus,Дамаск
CityName_88_70,Avilleanche,Авілланш.
CityName_88_71,Crackacoldon,Кракаколдон.
CityName_88_72,Bundleupp,Bundleupp
CityName_88_73,Dimlit,Димліт.
CityName_88_74,Donnerdale,Доннердейл.
CityName_88_75,Shrimpheaven,Креветочний рай
CityName_88_76,Tinseltown,Тінселтаун
CityName_88_77,Bushmeet,Бушміт.
CityName_88_78,Coldspring,Холодна весна
CityName_88_79,Carvecave,Різьблена печера
CityName_88_80,Glöggins,Глоґґінс.
CityName_88_81,Oldgrowth,Старовина
CityName_88_82,Fromageau,Фромажо
CityName_88_83,Quartzet,Квартет
CityName_88_84,Scaffoldshire,Скаффолдшир
CityName_88_85,Hommeglace,Hommeglace
CityName_88_86,Smashburg,Smashburg
CityName_88_87,Coldgate,Колдгейт.
CityName_88_88,Brewlington,Брюлінгтон
CityName_88_89,Emaree,Емарі.
CityName_88_90,Gillyville,Гіллівілль.
CityName_88_91,Dustland Mutual (Levelleux Branch),Dustland Mutual (відділення в м. Левель)
CityName_88_92,Rue Matoid,Rue Matoid
CityName_88_93,Ham Francisco,Шинка Франциско
CityName_88_94,Dustland Mutual (Smashburg Branch),Dustland Mutual (філія у Смашбурзі)
CityName_88_95,Fort Saudade,Форт Саудаде
CityName_88_96,Dustland Mutual (Skysight City Branch),Dustland Mutual (філія Skysight City)
CityName_88_97,Remedia,Remedia
CityName_88_98,Hundred Klicks,Сто кліків
CityName_88_99,Symposia,Симпозіуми
CityName_88_100,Trickledown,Просочування
CityName_88_101,Mossford,Моссфорд
CityName_88_102,Syrupstone,Сиропний камінь
CityName_88_103,Road Construction Bureau (Frostbite Branch),"Бюро дорожнього будівництва (філія ""Морозівка"")"
CityName_88_104,Ruined City (Swamp),Зруйноване місто (Болото)
CityName_88_105,Ruined City,Зруйноване місто
CityName_88_106,Ruined City,Зруйноване місто
CityName_88_107,Ruined City,Зруйноване місто
CityName_88_108,Ruined City (Volcanic),Зруйноване місто (Вулканічний)
CityName_88_109,Ruined City (Volcanic),Зруйноване місто (Вулканічний)
CityName_88_110,Ruined City,Зруйноване місто
CityName_88_111,Ruined City (Volcanic),Зруйноване місто (Вулканічний)
CityName_88_112,Ruined City,Зруйноване місто
CityName_88_113,Ruined City (Swamp),Зруйноване місто (Болото)
CityName_88_114,Elysium,Елізіум
CityName_88_115,Ruined City (Swamp),Зруйноване місто (Болото)
CityName_88_116,Ruined City (Frozen),Зруйноване місто (Замерзле)
CityName_88_117,Ruined City (Frozen),Зруйноване місто (Замерзле)
CityName_88_118,Ruined City (Frozen),Зруйноване місто (Замерзле)
CityName_88_119,Road Construction Bureau (Brulee Mire Branch),"Бюро дорожнього будівництва (філія ""Брюле Міре"")"
CityName_88_120,Ruined City,Зруйноване місто
CityName_88_121,Ruined City,Зруйноване місто
CityName_88_122,Lone Goose River Station,Станція Lone Goose River
CityName_88_123,Elegy Woods Station,Станція Elegy Woods
CityName_88_124,Mount Vermist Station,Станція Маунт Верміст
CityName_88_125,Rushdeer Mountains Station,Станція Rushdeer Mountains
CityName_88_126,Westwind Desert Station,"Станція ""Пустеля Вествінд"
CityName_88_127,Mount All Souls Station,"Станція ""Гора Всіх Душ"
CityName_88_128,Mount Icetongue Station,Станція Маунт Айсітонгенг (Mount Icetongue)
CityName_88_129,Starfall Mountains Station,Станція Starfall Mountains
CityName_88_130,Bluethread Mountains Station,Станція Bluethread Mountains
CityName_88_131,Black Jade Rapids Station,Станція Black Jade Rapids
CityName_88_132,Mount Wistful Station,"Станція ""Маунт Вістфул"
CityName_88_133,Corax Mountains Station,Станція Коракс Маунтінс
CityName_88_134,Sakura Pond Station,"Станція ""Ставок Сакура"
CityName_88_135,Mount Tyne Station,Станція Маунт-Тайн
CityName_88_136,Whitehair Pond Station,"Станція ""Біловодський став"
CityName_88_137,Lotus Pond Station,Станція Лотосовий ставок
CityName_88_138,Eolus Mountains Station,Станція Eolus Mountains
CityName_88_139,Mount Cornelian Station,Станція Маунт-Корнеліан
CityName_88_140,Blackshine Mountains Station,Станція Blackshine Mountains
CityName_88_141,Sandtide River Station,Річковий вокзал Сандтайд
CityName_88_142,Road Construction Bureau HQ,Штаб-квартира Бюро дорожнього будівництва
CityName_88_143,Saltwind Desert Station,Пустельна станція Saltwind Desert Station
CityName_88_144,Fuller Mountains Station,Станція Фуллер-Маунтінс
CityName_88_145,Duskrush Mountains Station,Станція Duskrush Mountains
CityName_88_146,Highmoon,Хаймун.
CityName_88_197,Dustland Mutual (Mount Catridge Branch),Dustland Mutual (філія Mount Catridge)
CityName_99_1,Frenzygoat Factory,Фабрика шалених кіз
CityName_99_2,Crow Feather Gas Station,"АЗС ""Вороняче перо"
CityName_99_3,Tumbledown Landfill,Занедбане сміттєзвалище
CityName_99_4,Sweetdew Farm,"Ферма ""Росинка"
CityName_99_5,Frostford,Фростфорд
CityName_99_6,Brightland Farm,Ферма Брайтленд
CityName_99_7,Narrow Road Gas Station,Заправка на вузькій дорозі
CityName_99_8,Old Crow Military Base,Військова база Стара Ворона
CityName_99_9,Arcadia Station,"Станція ""Аркадія"
CityName_99_10,Sleeping Tiger Military Base,"Військова база ""Сплячий тигр"
CityName_99_11,Thunderclap Military Base,"Військова база ""Тандерклап"
CityName_99_12,Corax Military Base,Військова база Коракс
CityName_99_13,Curtain Mountains Station,Станція Шторні гори
CityName_99_14,Camp Quagmire,Табір Трясовина
CityName_99_15,Steel Stockade Military Base,"Військова база ""Сталевий острог"
CityName_99_16,Great Gale Military Base,Військова база Грейт Гейл
CityName_99_17,Fort Dragon Military Base,Військова база Форт Дракон
CityName_99_18,Wasteland Fortress,Фортеця на пустирі
CityName_99_19,Fort Firmament Military Base,Військова база Форт Фірмамент
CityName_99_20,Roi d'Araignée Military Base,Військова база Руа д'Еріньє
CityName_99_21,Sandtide River Station,Річковий вокзал Сандтайд
CityName_99_22,Fort Polar Military Base,Військова база Форт Полар
CityName_99_23,Saussurea Farm,"Фермерське господарство ""Соусуреа"
CityName_99_24,Corax Mountains Station,Станція Коракс Маунтінс
CityName_99_25,Frostlight Farm,Ферма Фростлайт
